Pais;% nurses per 1000 inhabitants;Year
Australia;11.92;2018
Austria;6.87;2018
Belgium;11.22;2017
Brazil;1.47;2010
Canada;9.95;2018
Switzerland;17.59;2018
China;2.68;2017
Colombia;1.33;2018
Czech Republic;8.07;2018
Germany;13.22;2018
Denmark;10.1;2018
Spain;5.87;2018
Estonia;6.29;2018
Finland;14.26;2014
France;10.79;2018
United Kingdom;7.78;2018
Greece;3.37;2018
Hungary;6.62;2018
Indonesia;1.16;2013
India;1.5;2016
Ireland;12.88;2018
Iceland;15.52;2019
Israel;5.03;2018
Italy;6.73;2018
Japan;11.76;2018
South Korea;7.24;2018
Lithuania;7.78;2018
Luxembourg;11.72;2017
Latvia;4.35;2018
Mexico;2.87;2018
Netherlands;12.23;2013
Norway;17.97;2019
New Zealand;10.34;2018
Poland;5.1;2017
Portugal;6.88;2018
Russia;8.46;2018
Slovakia;5.7;2018
Slovenia;10.14;2018
Sweden;10.88;2017
Turkey;2.34;2018
United States;11.89;2018
South Africa;1.31;2017
