Pais;% camas de hospital por cada 1000 habitantes
Japan;13.11
South Korea;11.98
Russia;8.16
Germany;8.06
Austria;7.42
Hungary;7
Lithuania;6.69
Czech Republic;6.66
Poland;6.64
France;6.06
Slovakia;5.78
Belgium;5.76
Latvia;5.72
Luxembourg;4.81
Estonia;4.76
Switzerland;4.55
Slovenia;4.49
Greece;4.2
China;4.05
Finland;3.97
Australia;3.84
Norway;3.68
Netherlands;3.44
Portugal;3.39
Italy;3.17
Iceland;3.13
Israel;2.99
Spain;2.97
Ireland;2.97
United States;2.77
Turkey;2.75
New Zealand;2.73
Denmark;2.6
Canada;2.58
United Kingdom;2.57
Sweden;2.34
Chile;2.12
Colombia;1.68
Mexico;1.39
Costa Rica;1.16
Indonesia;0.99
India;0.48
