Mes,2020-05-07,2020-05-23,2020-05-27,2020-05-30,2021-04-20,2021-04-21,2022-04-25,2022-04-26,2023-01-22,2020-05-07 - 2020-05-23,2020-05-23 - 2020-05-27,2020-05-27 - 2020-05-30,2020-05-30 - 2021-04-20,2021-04-20 - 2021-04-21,2021-04-21 - 2022-04-25,2022-04-25 - 2022-04-26,2022-04-26 - 2023-01-22
Gener\n2015,,,,,,,,47855.64,47855.64,,,,,,,,0
Febrer\n2015,,,,,,,,42902.82,42902.82,,,,,,,,0
Març\n2015,,,,,,,,39409.9,39409.9,,,,,,,,0
Abril\n2015,,,,,,,,34044.12,34044.12,,,,,,,,0
Maig\n2015,,,,,,,,33041.51,33041.51,,,,,,,,0
Juny\n2015,,,,,,,,31361.12,31361.12,,,,,,,,0
Juliol\n2015,,,,,,,,35788.77,35788.77,,,,,,,,0
Agost\n2015,,,,,,,,31382.24,31382.24,,,,,,,,0
Setembre\n2015,,,,,,,,29112.43,29112.43,,,,,,,,0
Octubre\n2015,,,,,,,,32248.62,32248.62,,,,,,,,0
Novembre\n2015,,,,,,,,32753.82,32753.82,,,,,,,,0
Desembre\n2015,,,,,,,,36857.62,36857.62,,,,,,,,0
Gener\n2016,,,,,,,,38869.67,38869.67,,,,,,,,0
Febrer\n2016,,,,,,,,35965.44,35965.44,,,,,,,,0
Març\n2016,,,,,,,,38653.42,38653.42,,,,,,,,0
Abril\n2016,,,,,,,,34186.09,34186.09,,,,,,,,0
Maig\n2016,,,,,,,,33364.04,33364.04,,,,,,,,0
Juny\n2016,,,,,,,,31860.58,31860.58,,,,,,,,0
Juliol\n2016,,,,,,,,33233.41,33233.41,,,,,,,,0
Agost\n2016,,,,,,,,32309.26,32309.26,,,,,,,,0
Setembre\n2016,,,,,,,,30336.01,30336.01,,,,,,,,0
Octubre\n2016,,,,,,,,32407.93,32407.93,,,,,,,,0
Novembre\n2016,,,,,,,,34114.12,34114.12,,,,,,,,0
Desembre\n2016,,,,,,,,39698.86,39698.86,,,,,,,,0
Gener\n2017,,,,,,,,49953.38,49953.38,,,,,,,,0
Febrer\n2017,,,,,,,,37803.39,37803.39,,,,,,,,0
Març\n2017,,,,,,,,36187.23,36187.23,,,,,,,,0
Abril\n2017,,,,,,,,33574,33574,,,,,,,,0
Maig\n2017,,,,,,,,34173.37,34173.37,,,,,,,,0
Juny\n2017,,,,,,,,32569.49,32569.49,,,,,,,,0
Juliol\n2017,,,,,,,,32183.55,32183.55,,,,,,,,0
Agost\n2017,,,,,,,,32575.3,32575.3,,,,,,,,0
Setembre\n2017,,,,,,,,30378.1,30378.1,,,,,,,,0
Octubre\n2017,,,,,,,,33085.7,33085.7,,,,,,,,0
Novembre\n2017,,,,,,,,34604.24,34604.24,,,,,,,,0
Desembre\n2017,,,,,,,,42118.81,42118.81,,,,,,,,0
Gener\n2018,,,,,,,,48486.55,48486.55,,,,,,,,0
Febrer\n2018,,,,,,,,40242.73,40242.73,,,,,,,,0
Març\n2018,,,,,,,,40213.01,40213.01,,,,,,,,0
Abril\n2018,12670,,,,,,,35456.59,35456.59,,,,,,,,0
Maig\n2018,31547,27559,23357,20431,,,,33800.49,33800.49,-3988,-4202,-2926,,,,,0
Juny\n2018,30142,30142,30142,30389,,,,32286.16,32286.16,0,0,247,,,,,0
Juliol\n2018,30254,30254,30254,30595,,,,32488.74,32488.74,0,0,341,,,,,0
Agost\n2018,30953,30953,30953,31457,,,,33405.45,33405.45,0,0,504,,,,,0
Setembre\n2018,28465,28465,28465,28824,,,,30613.2,30613.2,0,0,359,,,,,0
Octubre\n2018,31055,31055,31055,31278,,,,33262.57,33262.57,0,0,223,,,,,0
Novembre\n2018,32473,32473,32473,32750,,,,34788.63,34788.63,0,0,277,,,,,0
Desembre\n2018,34208,34208,34208,35339,,,,37533.59,37533.59,0,0,1131,,,,,0
Gener\n2019,42033,42033,42033,42034,,,,45216.88,45216.88,0,0,1,,,,,0
Febrer\n2019,35570,35570,35570,35571,,,,38239.01,38239.01,0,0,1,,,,,0
Març\n2019,35049,35049,35049,35052,,,,37609.04,37609.04,0,0,3,,,,,0
Abril\n2019,32268,32268,32268,32273,31160,30534,,34771.26,34771.26,0,0,5,-1113,-626,,,0
Maig\n2019,32080,32080,32080,32084,32084,32361,,34385.73,34385.73,0,0,4,0,277,,,0
Juny\n2019,29907,29907,29907,29915,29915,30291,,32211.81,32211.81,0,0,8,0,376,,,0
Juliol\n2019,31444,31444,31444,31454,31454,31863,,33873.97,33873.97,0,0,10,0,409,,,0
Agost\n2019,29712,29712,29712,29718,29718,30118,,31964.98,31964.98,0,0,6,0,400,,,0
Setembre\n2019,28220,28220,28220,28229,28229,28565,,30308.37,30308.37,0,0,9,0,336,,,0
Octubre\n2019,30974,30974,30974,30989,30989,31318,,33259.07,33259.07,0,0,15,0,329,,,0
Novembre\n2019,32848,32848,32848,32865,32865,33242,,35259.92,35259.92,0,0,17,0,377,,,0
Desembre\n2019,34145,34145,34145,34155,34155,35242,,37382.61,37382.61,0,0,10,0,1087,,,0
Gener\n2020,40683,40683,40683,40697,40697,40699,,43172.22,43571.1,0,0,14,0,2,,,398.88
Febrer\n2020,34543,34543,34565,34584,34584,34586,,36676.83,36905.16,0,22,19,0,2,,,228.33
Març\n2020,48753,48753,54417,54451,54498,54498,,58584.77,58754.69,0,5664,34,47,0,,,169.92000000001
Abril\n2020,50223,50070,56261,56291,56419,56426,43028,60676.44,60819.65,-153,6191,30,128,7,-13398,17648.44,143.21
Maig\n2020,6756,23843,28513,31878,33181,33184,33184,35278.9,35348.01,17087,4670,3365,1303,3,0,2094.9,69.110000000001
Juny\n2020,,,,,29101,29105,29105,30902.14,30962.35,,,,,4,0,1797.14,60.209999999999
Juliol\n2020,,,,,32788,32799,32799,34871.01,34970.77,,,,,11,0,2072.01,99.759999999995
Agost\n2020,,,,,34034,34038,34039,36146.04,36253.17,,,,,4,1,2107.04,107.13
Setembre\n2020,,,,,32794,32802,32802,34948.07,35038.47,,,,,8,0,2146.07,90.400000000001
Octubre\n2020,,,,,37738,37760,37761,40235.85,40245.78,,,,,22,1,2474.85,9.9300000000003
Novembre\n2020,,,,,40242,40276,40276,42860,42920.51,,,,,34,0,2584,60.510000000002
Desembre\n2020,,,,,39791,39831,39831,42173.57,42269.11,,,,,40,0,2342.57,95.540000000001
Gener\n2021,,,,,49703,49737,49737,52616.62,52284.64,,,,,34,0,2879.62,-331.98
Febrer\n2021,,,,,38622,38652,38669,41036.2,40780.64,,,,,30,17,2367.2,-255.56
Març\n2021,,,,,35185,35253,35125,37235.42,36999,,,,,68,-128,2110.42,-236.42
Abril\n2021,,,,,21449,22818,32829,34869.5,34648.31,,,,,1369,10011,2040.5,-221.19
Maig\n2021,,,,,,,32479,34433.53,34205.81,,,,,,,1954.53,-227.72
Juny\n2021,,,,,,,30854,32687.24,32498.06,,,,,,,1833.24,-189.18
Juliol\n2021,,,,,,,33475,35512.6,35309.95,,,,,,,2037.6,-202.65
Agost\n2021,,,,,,,36186,38407.14,38197.32,,,,,,,2221.14,-209.82
Setembre\n2021,,,,,,,31226,33128.48,32952.07,,,,,,,1902.48,-176.41
Octubre\n2021,,,,,,,32877,34884.36,34721.96,,,,,,,2007.36,-162.4
Novembre\n2021,,,,,,,35164,37252.16,37078.89,,,,,,,2088.16,-173.27
Desembre\n2021,,,,,,,40365,42558.68,42376.68,,,,,,,2193.68,-182
Gener\n2022,,,,,,,44746,47512.05,47299.06,,,,,,,2766.05,-212.99000000001
Febrer\n2022,,,,,,,36991,39217.81,39064.26,,,,,,,2226.81,-153.55
Març\n2022,,,,,,,36119,38254.59,38216.31,,,,,,,2135.59,-38.279999999999
Abril\n2022,,,,,,,28323,31119.81,36972.16,,,,,,,2796.81,5852.35
Maig\n2022,,,,,,,,,38145.96,,,,,,,,
Juny\n2022,,,,,,,,,37162.09,,,,,,,,
Juliol\n2022,,,,,,,,,44796.65,,,,,,,,
Agost\n2022,,,,,,,,,38582.31,,,,,,,,
Setembre\n2022,,,,,,,,,32520.92,,,,,,,,
Octubre\n2022,,,,,,,,,35536.22,,,,,,,,
Novembre\n2022,,,,,,,,,35720.77,,,,,,,,
Desembre\n2022,,,,,,,,,42535.33,,,,,,,,
Gener\n2023,,,,,,,,,28957.45,,,,,,,,
Febrer\n2023,,,,,,,,,,,,,,,,,
Març\n2023,,,,,,,,,,,,,,,,,
Abril\n2023,,,,,,,,,,,,,,,,,
Maig\n2023,,,,,,,,,,,,,,,,,
Juny\n2023,,,,,,,,,,,,,,,,,
Juliol\n2023,,,,,,,,,,,,,,,,,
Agost\n2023,,,,,,,,,,,,,,,,,
Setembre\n2023,,,,,,,,,,,,,,,,,
Octubre\n2023,,,,,,,,,,,,,,,,,
Novembre\n2023,,,,,,,,,,,,,,,,,
Desembre\n2023,,,,,,,,,,,,,,,,,
Gener\n2024,,,,,,,,,,,,,,,,,
