Mes,2020-05-07,2020-05-23,2020-05-27,2020-05-30,2021-04-20,2021-04-21,2021-11-27,2020-05-07 - 2020-05-23,2020-05-23 - 2020-05-27,2020-05-27 - 2020-05-30,2020-05-30 - 2021-04-20,2021-04-20 - 2021-04-21,2021-04-21 - 2021-11-27
Enero\n2018,,,,,,,,,,,,,
Febrero\n2018,,,,,,,,,,,,,
Marzo\n2018,,,,,,,,,,,,,
Abril\n2018,12670,,,,,,,,,,,,
Mayo\n2018,31547,27559,23357,20431,,,,-3988,-4202,-2926,,,
Junio\n2018,30142,30142,30142,30389,,,,0,0,247,,,
Julio\n2018,30254,30254,30254,30595,,,,0,0,341,,,
Agosto\n2018,30953,30953,30953,31457,,,,0,0,504,,,
Septiembre\n2018,28465,28465,28465,28824,,,,0,0,359,,,
Octubre\n2018,31055,31055,31055,31278,,,,0,0,223,,,
Noviembre\n2018,32473,32473,32473,32750,,,,0,0,277,,,
Diciembre\n2018,34208,34208,34208,35339,,,,0,0,1131,,,
Enero\n2019,42033,42033,42033,42034,,,,0,0,1,,,
Febrero\n2019,35570,35570,35570,35571,,,,0,0,1,,,
Marzo\n2019,35049,35049,35049,35052,,,,0,0,3,,,
Abril\n2019,32268,32268,32268,32273,31160,30534,,0,0,5,-1113,-626,
Mayo\n2019,32080,32080,32080,32084,32084,32361,,0,0,4,0,277,
Junio\n2019,29907,29907,29907,29915,29915,30291,,0,0,8,0,376,
Julio\n2019,31444,31444,31444,31454,31454,31863,,0,0,10,0,409,
Agosto\n2019,29712,29712,29712,29718,29718,30118,,0,0,6,0,400,
Septiembre\n2019,28220,28220,28220,28229,28229,28565,,0,0,9,0,336,
Octubre\n2019,30974,30974,30974,30989,30989,31318,,0,0,15,0,329,
Noviembre\n2019,32848,32848,32848,32865,32865,33242,24721,0,0,17,0,377,-8521
Diciembre\n2019,34145,34145,34145,34155,34155,35242,35242,0,0,10,0,1087,0
Enero\n2020,40683,40683,40683,40697,40697,40699,40699,0,0,14,0,2,0
Febrero\n2020,34543,34543,34565,34584,34584,34586,34586,0,22,19,0,2,0
Marzo\n2020,48753,48753,54417,54451,54498,54498,54498,0,5664,34,47,0,0
Abril\n2020,50223,50070,56261,56291,56419,56426,56426,-153,6191,30,128,7,0
Mayo\n2020,6756,23843,28513,31878,33181,33184,33184,17087,4670,3365,1303,3,0
Junio\n2020,,,,,29101,29105,29105,,,,,4,0
Julio\n2020,,,,,32788,32799,32799,,,,,11,0
Agosto\n2020,,,,,34034,34038,34038,,,,,4,0
Septiembre\n2020,,,,,32794,32802,32802,,,,,8,0
Octubre\n2020,,,,,37738,37760,37761,,,,,22,1
Noviembre\n2020,,,,,40242,40276,40276,,,,,34,0
Diciembre\n2020,,,,,39791,39831,39831,,,,,40,0
Enero\n2021,,,,,49703,49737,49737,,,,,34,0
Febrero\n2021,,,,,38622,38652,38669,,,,,30,17
Marzo\n2021,,,,,35185,35253,35123,,,,,68,-130
Abril\n2021,,,,,21449,22818,32829,,,,,1369,10011
Mayo\n2021,,,,,,,32478,,,,,,
Junio\n2021,,,,,,,30854,,,,,,
Julio\n2021,,,,,,,33475,,,,,,
Agosto\n2021,,,,,,,36187,,,,,,
Septiembre\n2021,,,,,,,31220,,,,,,
Octubre\n2021,,,,,,,32847,,,,,,
Noviembre\n2021,,,,,,,30436,,,,,,
Diciembre\n2021,,,,,,,,,,,,,
Enero\n2022,,,,,,,,,,,,,
