week,2015,2016,2017,2018,2019,2020,2021,2022,2023
2020-01-01,938,870,1006,938,872,862,832,957,1104
2020-01-08,977,864,1048,872,829,952,868,911,1069
2020-01-15,913,939,928,945,812,837,860,824,909
2020-01-22,930,937,866,857,835,862,851,825,888
2020-01-29,911,881,914,881,889,816,793,922,871
2020-02-05,898,852,823,904,844,796,813,888,850
2020-02-12,866,826,845,928,914,855,769,909,839
2020-02-19,931,764,898,917,828,813,757,992,839
2020-02-26,925,873,863,907,821,836,705,973,789
2020-03-04,976,762,822,950,833,799,790,931,831
2020-03-11,836,798,805,867,837,827,788,992,842
2020-03-18,785,802,788,905,805,810,769,988,837
2020-03-25,795,759,756,807,791,854,719,895,801
2020-04-01,786,802,809,821,782,831,780,949,772
2020-04-08,795,773,776,827,757,841,751,863,784
2020-04-15,777,756,758,779,761,816,753,842,
2020-04-22,749,755,816,781,800,777,777,843,
2020-04-29,686,748,745,757,775,749,696,834,
2020-05-06,729,711,733,738,774,742,707,832,
2020-05-13,707,777,694,714,732,686,740,843,
2020-05-20,780,713,735,692,741,740,728,752,
2020-05-27,716,679,688,759,730,662,726,806,
2020-06-03,758,669,724,715,707,677,729,778,
2020-06-10,746,729,732,671,737,731,686,809,
2020-06-17,712,725,758,703,725,739,696,891,
2020-06-24,752,678,733,741,767,684,720,804,
2020-07-01,721,756,756,777,736,697,770,857,
2020-07-08,693,734,694,737,736,668,716,882,
2020-07-15,722,686,749,722,742,754,757,867,
2020-07-22,669,721,728,773,722,732,746,801,
2020-07-29,663,709,691,679,729,746,767,815,
2020-08-05,700,740,742,705,706,738,779,793,
2020-08-12,698,717,704,694,734,734,789,826,
2020-08-19,732,684,739,754,678,746,785,775,
2020-08-26,720,723,730,715,779,699,792,766,
2020-09-02,745,759,709,694,714,710,786,828,
2020-09-09,712,714,704,706,708,786,821,802,
2020-09-16,750,681,697,722,756,773,818,847,
2020-09-23,709,740,713,712,820,743,806,845,
2020-09-30,766,741,734,702,711,784,806,814,
2020-10-07,752,731,764,715,788,743,803,859,
2020-10-14,741,786,693,744,785,714,847,853,
2020-10-21,752,774,793,696,794,796,894,853,
2020-10-28,745,688,746,815,776,791,918,867,
2020-11-04,748,810,704,776,785,777,958,844,
2020-11-11,753,818,760,737,846,780,918,883,
2020-11-18,745,855,791,720,784,800,948,932,
2020-11-25,831,789,771,802,780,774,968,924,
2020-12-02,804,819,832,823,851,789,1049,948,
2020-12-09,816,919,844,759,783,841,979,1024,
2020-12-16,786,923,897,802,774,823,968,1066,
2020-12-23,833,982,891,873,806,831,929,1136,
2020-12-30,851,,,,,841,,,
