week;2015;2016;2017;2018;2019;2020
2020-01-01;937;870;1006;938;871;860
2020-01-08;977;864;1048;872;827;948
2020-01-15;913;939;928;945;811;836
2020-01-22;930;937;866;857;834;861
2020-01-29;911;881;914;881;889;814
2020-02-05;898;852;823;904;843;795
2020-02-12;866;826;845;927;914;856
2020-02-19;931;764;898;917;828;811
2020-02-26;925;873;863;907;819;837
2020-03-04;975;762;822;950;833;793
2020-03-11;836;798;804;867;836;821
2020-03-18;785;802;788;905;805;795
2020-03-25;795;759;756;807;790;842
2020-04-01;786;802;809;819;781;819
2020-04-08;795;773;776;827;757;829
2020-04-15;777;756;758;778;761;794
2020-04-22;749;755;816;781;799;756
2020-04-29;686;748;745;756;773;724
2020-05-06;728;711;733;738;772;707
2020-05-13;707;776;694;714;732;613
2020-05-20;780;713;735;692;741;550
2020-05-27;716;679;688;757;728;
2020-06-03;758;669;724;713;707;
2020-06-10;746;729;732;671;735;
2020-06-17;712;725;757;703;723;
2020-06-24;752;678;733;741;767;
2020-07-01;721;756;756;776;735;
2020-07-08;693;734;694;737;732;
2020-07-15;722;685;748;720;741;
2020-07-22;669;721;728;773;721;
2020-07-29;663;709;691;677;727;
2020-08-05;700;739;742;705;705;
2020-08-12;698;717;704;694;733;
2020-08-19;732;684;739;754;677;
2020-08-26;720;723;730;715;779;
2020-09-02;745;759;708;694;713;
2020-09-09;712;714;704;705;707;
2020-09-16;750;681;697;720;755;
2020-09-23;709;740;713;712;818;
2020-09-30;766;741;733;702;711;
2020-10-07;752;731;764;714;786;
2020-10-14;741;786;693;744;782;
2020-10-21;752;773;792;696;793;
2020-10-28;745;688;746;814;774;
2020-11-04;748;810;704;776;786;
2020-11-11;753;818;760;736;846;
2020-11-18;745;855;791;720;784;
2020-11-25;831;789;770;802;777;
2020-12-02;804;819;832;821;850;
2020-12-09;816;918;844;759;780;
2020-12-16;786;923;897;802;773;
2020-12-23;833;982;891;871;804;
2020-12-30;851;;;;;
