Fecha,2022,2021,2020,2019,2018
2020-01-01,1396.35,1354.96,1234.57,1253.69,1550.48
2020-01-02,1414.81,1380.34,1295.89,1328.16,1576.37
2020-01-03,1390.59,1348.26,1297.03,1383.67,1608.3
2020-01-04,1523.5,1406.2,1317.14,1402.3,1712.5
2020-01-05,1401.63,1429.13,1270.81,1402.08,1748.86
2020-01-06,1366.07,1464.67,1239.68,1327.27,1645.41
2020-01-07,1444.26,1489.63,1255.72,1387.57,1539.63
2020-01-08,1496.66,1580.75,1414.44,1418.04,1647.13
2020-01-09,1418.17,1643.9,1352.69,1568.58,1636.68
2020-01-10,1542.02,1537.82,1456.1,1468.49,1650.98
2020-01-11,1495.64,1631.35,1424.39,1420.4,1512.16
2020-01-12,1527.01,1731.22,1343.85,1493.88,1675.32
2020-01-13,1551.36,1658.57,1338.37,1445.82,1558.03
2020-01-14,1622.71,1779.62,1423.13,1453.81,1464.05
2020-01-15,1536.31,1780.86,1431.41,1530.55,1556.3
2020-01-16,1538.09,1770.6,1418.44,1622.84,1550.61
2020-01-17,1482.44,1653.45,1567.09,1485.22,1729.28
2020-01-18,1516.47,1814.17,1457.98,1543.78,1589.29
2020-01-19,1648.73,1843.15,1368.7,1587.84,1686.21
2020-01-20,1620.24,1899.33,1306.76,1427,1542.56
2020-01-21,1642.33,1962.08,1471.61,1449.33,1471.65
2020-01-22,1585.96,1989.95,1468.22,1427.34,1517.44
2020-01-23,1473.63,1812.74,1437.71,1479.44,1593.06
2020-01-24,1607.82,1820.33,1488.51,1509.96,1540.98
2020-01-25,1659.78,1850.99,1416.01,1494.68,1595.35
2020-01-26,1636.05,1874.99,1373.03,1519.25,1540.03
2020-01-27,1680.26,1948.36,1418.46,1494.45,1377.62
2020-01-28,1614.98,1889.19,1436.66,1427.18,1312.4
2020-01-29,1624.71,1803.35,1480.66,1451.27,1424.09
2020-01-30,1530.05,1799.88,1481.33,1422.94,1480.05
2020-01-31,1526.89,1666.78,1485.83,1590.05,1453.73
2020-02-01,1621.35,1775.65,1387.55,1580.3,1508.29
2020-02-02,1600.11,1756.65,1350.04,1396.58,1469.81
2020-02-03,1662.75,1718.85,1364.15,1304.17,1407.07
2020-02-04,1627.02,1689.85,1379.36,1347.77,1348.98
2020-02-05,1565.1,1660.84,1374.88,1416.77,1473.86
2020-02-06,1400.23,1627.96,1350.02,1487.27,1349.57
2020-02-07,1397.53,1503.74,1352.64,1398.03,1515.82
2020-02-08,1504.86,1489.71,1264.26,1479.07,1540.38
2020-02-09,1566,1584.34,1216.91,1425.04,1458.71
2020-02-10,1472.94,1627.5,1219.57,1276.45,1473.16
2020-02-11,1437.99,1484.97,1307.54,1343.99,1379.23
2020-02-12,1403.54,1592.02,1308.18,1371.67,1451.24
2020-02-13,1349.86,1422.92,1364.64,1445.58,1470.26
2020-02-14,1328.33,1324.7,1265.24,1403.96,1462.19
2020-02-15,1393.94,1371.2,1284.04,1371.53,1513.9
2020-02-16,1361.25,1425.35,1133.94,1347.5,1556.97
2020-02-17,1397.78,1426.34,1192.78,1273.15,1469.07
2020-02-18,1353.8,1482.47,1201.44,1325.86,1346.64
2020-02-19,1311.21,1392.31,1154.7,1451.81,1348.11
2020-02-20,1220.32,1298.45,1254.62,1395.32,1424.17
2020-02-21,1286,1233.61,1232.09,1328.13,1446.47
2020-02-22,1304.73,1310.24,1243.24,1318.65,1405.93
2020-02-23,1312.19,1340.26,1152.97,1327.58,1466.62
2020-02-24,1346.52,1351.43,1211.58,1240.31,1418.47
2020-02-25,1340.49,1322.52,1192.31,1203.45,1322.16
2020-02-26,1238.63,1306.15,1195.8,1291.09,1418.53
2020-02-27,1213.74,1294.95,1300.13,1387.7,1381.45
2020-02-28,1202.64,1221.22,1200.85,1300.28,1415.67
2020-02-29,,,1221.36,
2020-03-01,1201.43,1187.68,1121.42,1372.86,1481.79
2020-03-02,1264.58,1297.34,1192.42,1255.81,1402.12
2020-03-03,1334.39,1312.4,1228.87,1303.93,1351.2
2020-03-04,1273.12,1217.67,1224.38,1330.17,1319.55
2020-03-05,1209.05,1228.1,1256.38,1305.05,1331.35
2020-03-06,1238.69,1222.1,1253.32,1318.68,1385.63
2020-03-07,1181.53,1132.33,1225.73,1275,1340.69
2020-03-08,1211.69,1187.71,1198.85,1197.26,1340.59
2020-03-09,1235.81,1261.57,1174.61,1201.01,1353.65
2020-03-10,1284.76,1173.44,1290.11,1159.59,1320.13
2020-03-11,1273.05,1222.44,1366.18,1214.52,1289.2
2020-03-12,1250.78,1241.25,1360.48,1268.37,1298.85
2020-03-13,1142.34,1247.49,1475.28,1197.08,1348.12
2020-03-14,1171.4,1075.8,1457.56,1146.54,1324.56
2020-03-15,1299.42,1227.92,1471.34,1202.87,1327.83
2020-03-16,1290.71,1209.8,1508.73,1241.49,1290.83
2020-03-17,1221.85,1181.25,1606.7,1093.52,1273.06
2020-03-18,1297.69,1197.99,1695.2,1152.87,1135.76
2020-03-19,1169.63,1173.52,1815.39,1206.51,1139.41
2020-03-20,1147.08,1130.52,2055.11,1176.46,1254.01
2020-03-21,1167.48,1093.57,2167.15,1212.36,1315.5
2020-03-22,1215.57,1140.16,2207.87,1185.28,1265.62
2020-03-23,1316.25,1203.7,2512.22,1114.04,1289.69
2020-03-24,1221.87,1208.85,2760.82,1141.15,1302.75
2020-03-25,1329.19,1248.19,2889.92,1138.63,1189.97
2020-03-26,1241.55,1278.89,2832.69,1241.67,1265.09
2020-03-27,1105.72,1157.13,3076.99,1190.39,1285.18
2020-03-28,1122.75,1093.08,3040.27,1223.32,1307.19
2020-03-29,1297.01,1174.45,2884.11,1199.65,1290.27
2020-03-30,1277.24,1244.6,3025.16,1224.14,1261.98
2020-03-31,1260.38,1264.48,3209.51,1118.82,1131.44
2020-04-01,1252.95,1189.19,3144.39,1205.58,1183.13
2020-04-02,1234.16,1166.67,2986.47,1157.6,1225.31
2020-04-03,1158.98,1193.53,2968.11,1228.1,1218.76
2020-04-04,1190.39,1066.53,2669.06,1171.86,1254.57
2020-04-05,1271.12,1214.12,2737.98,1212.73,1281.47
2020-04-06,1227.08,1192.5,2653.76,1245.31,1241.63
2020-04-07,1345.74,1228.47,2739.42,1078.45,1244.58
2020-04-08,1323.45,1129.82,2603.01,1169.33,1139.49
2020-04-09,1269.23,1233.41,2393.89,1111.45,1166.87
2020-04-10,1226.24,1168.42,2350.68,1226.69,1241.65
2020-04-11,1347.26,1054.57,2230.95,1175.16,1218.87
2020-04-12,1287.07,1165.51,2124.69,1204.06,1274.08
2020-04-13,1351.87,1097.18,2092.36,1172.55,1233.81
2020-04-14,1264.55,1210.34,2052.52,1132.49,1206.45
2020-04-15,1210.72,1189.19,1961.04,1219.56,1155.56
2020-04-16,1218.89,1198.56,1835.24,1204.25,1124.5
2020-04-17,1230.09,1124.54,1880.77,1155.67,1240.77
2020-04-18,1247.42,1079.2,1775.42,1197.37,1168.4
2020-04-19,1228.69,1172.54,1641.25,1071.18,1303.6
2020-04-20,1247.52,1172.18,1602.58,1059.58,1180.06
2020-04-21,1243.21,1183.46,1709.27,1075.39,1109.16
