Fecha,2021,2020,2019,2018
2020-01-01,1275,1159,1166,
2020-01-02,1294,1224,1233,
2020-01-03,1271,1226,1270,
2020-01-04,1325,1240,1308,
2020-01-05,1348,1197,1305,
2020-01-06,1385,1166,1226,
2020-01-07,1404,1181,1291,
2020-01-08,1483,1333,1322,
2020-01-09,1548,1271,1450,
2020-01-10,1443,1376,1372,
2020-01-11,1536,1350,1316,
2020-01-12,1656,1259,1391,
2020-01-13,1578,1260,1343,
2020-01-14,1691,1337,1362,
2020-01-15,1693,1353,1429,
2020-01-16,1670,1332,1517,
2020-01-17,1529,1478,1376,
2020-01-18,1678,1377,1449,
2020-01-19,1695,1291,1484,
2020-01-20,1743,1231,1327,
2020-01-21,1793,1388,1357,
2020-01-22,1825,1388,1331,
2020-01-23,1663,1360,1375,
2020-01-24,1676,1403,1387,
2020-01-25,1686,1334,1385,
2020-01-26,1718,1295,1386,
2020-01-27,1804,1334,1371,
2020-01-28,1734,1354,1330,
2020-01-29,1671,1399,1364,
2020-01-30,1679,1395,1320,
2020-01-31,1573,1406,1491,
2020-02-01,1656,1314,1471,
2020-02-02,1640,1272,1307,
2020-02-03,1613,1284,1224,
2020-02-04,1622,1305,1256,
2020-02-05,1604,1303,1323,
2020-02-06,1537,1264,1391,
2020-02-07,1442,1270,1302,
2020-02-08,1291,1193,1392,
2020-02-09,,1151,1321,
2020-02-10,,1152,1188,
2020-02-11,,1236,1261,
2020-02-12,,1234,1269,
2020-02-13,,1285,1349,
2020-02-14,,1192,1297,
2020-02-15,,1209,1278,
2020-02-16,,1075,1246,
2020-02-17,,1121,1187,
2020-02-18,,1129,1228,
2020-02-19,,1090,1338,
2020-02-20,,1184,1291,
2020-02-21,,1158,1233,
2020-02-22,,1173,1215,
2020-02-23,,1089,1233,
2020-02-24,,1141,1159,
2020-02-25,,1125,1111,
2020-02-26,,1127,1213,
2020-02-27,,1225,1279,
2020-02-28,,1130,1209,
2020-02-29,,1153,,
2020-03-01,,1061,1283,
2020-03-02,,1125,1168,
2020-03-03,,1156,1219,
2020-03-04,,1151,1248,
2020-03-05,,1184,1229,
2020-03-06,,1187,1239,
2020-03-07,,1157,1182,
2020-03-08,,1132,1116,
2020-03-09,,1108,1118,
2020-03-10,,1212,1090,
2020-03-11,,1279,1139,
2020-03-12,,1279,1187,
2020-03-13,,1380,1112,
2020-03-14,,1370,1066,
2020-03-15,,1374,1122,
2020-03-16,,1403,1156,
2020-03-17,,1497,1015,
2020-03-18,,1584,1068,
2020-03-19,,1690,1131,
2020-03-20,,1905,1094,
2020-03-21,,2006,1137,
2020-03-22,,2039,1102,
2020-03-23,,2315,1029,
2020-03-24,,2546,1061,
2020-03-25,,2662,1057,
2020-03-26,,2617,1155,
2020-03-27,,2848,1098,
2020-03-28,,2807,1142,
2020-03-29,,2662,1110,
2020-03-30,,2797,1133,
2020-03-31,,2965,1046,
2020-04-01,,2893,1113,
2020-04-02,,2755,1080,
2020-04-03,,2747,1154,
2020-04-04,,2474,1097,
2020-04-05,,2528,1140,
2020-04-06,,2457,1165,
2020-04-07,,2537,1002,
2020-04-08,,2418,1083,
2020-04-09,,2234,1042,
2020-04-10,,2186,1145,
2020-04-11,,2069,1095,
2020-04-12,,1978,1124,
2020-04-13,,1942,1092,
2020-04-14,,1909,1052,
2020-04-15,,1831,1142,
2020-04-16,,1715,1115,
2020-04-17,,1758,1076,
2020-04-18,,1658,1112,
2020-04-19,,1526,993,1220
2020-04-20,,1487,982,1087
2020-04-21,,1594,989,1033
2020-04-22,,1397,1015,1049
2020-04-23,,1341,1018,1023
2020-04-24,,1438,1020,1039
