Fecha;2018;2019;2020;2021
2020-01-01;;1166;1159;1201
2020-01-02;;1233;1224;1217
2020-01-03;;1270;1226;1219
2020-01-04;;1308;1240;1273
2020-01-05;;1305;1197;1242
2020-01-06;;1226;1166;1257
2020-01-07;;1291;1181;1277
2020-01-08;;1322;1333;1299
2020-01-09;;1450;1271;1245
2020-01-10;;1372;1376;1218
2020-01-11;;1316;1350;1177
2020-01-12;;1391;1259;
2020-01-13;;1343;1260;
2020-01-14;;1362;1337;
2020-01-15;;1429;1353;
2020-01-16;;1517;1332;
2020-01-17;;1376;1478;
2020-01-18;;1449;1377;
2020-01-19;;1484;1291;
2020-01-20;;1327;1231;
2020-01-21;;1357;1388;
2020-01-22;;1331;1388;
2020-01-23;;1375;1360;
2020-01-24;;1387;1403;
2020-01-25;;1385;1334;
2020-01-26;;1386;1295;
2020-01-27;;1371;1334;
2020-01-28;;1330;1354;
2020-01-29;;1364;1399;
2020-01-30;;1320;1395;
2020-01-31;;1491;1406;
2020-02-01;;1471;1314;
2020-02-02;;1307;1272;
2020-02-03;;1224;1284;
2020-02-04;;1256;1305;
2020-02-05;;1323;1303;
2020-02-06;;1391;1264;
2020-02-07;;1302;1270;
2020-02-08;;1392;1193;
2020-02-09;;1321;1151;
2020-02-10;;1188;1152;
2020-02-11;;1261;1236;
2020-02-12;;1269;1234;
2020-02-13;;1349;1285;
2020-02-14;;1297;1192;
2020-02-15;;1278;1209;
2020-02-16;;1246;1075;
2020-02-17;;1187;1121;
2020-02-18;;1228;1129;
2020-02-19;;1338;1090;
2020-02-20;;1291;1184;
2020-02-21;;1233;1158;
2020-02-22;;1215;1173;
2020-02-23;;1233;1089;
2020-02-24;;1159;1141;
2020-02-25;;1111;1125;
2020-02-26;;1213;1127;
2020-02-27;;1279;1225;
2020-02-28;;1209;1130;
2020-02-29;;;1153;
2020-03-01;;1283;1061;
2020-03-02;;1168;1125;
2020-03-03;;1219;1156;
2020-03-04;;1248;1151;
2020-03-05;;1229;1184;
2020-03-06;;1239;1187;
2020-03-07;;1182;1157;
2020-03-08;;1116;1132;
2020-03-09;;1118;1108;
2020-03-10;;1090;1212;
2020-03-11;;1139;1279;
2020-03-12;;1187;1279;
2020-03-13;;1112;1380;
2020-03-14;;1066;1370;
2020-03-15;;1122;1374;
2020-03-16;;1156;1403;
2020-03-17;;1015;1497;
2020-03-18;;1068;1584;
2020-03-19;;1131;1690;
2020-03-20;;1094;1905;
2020-03-21;;1137;2006;
2020-03-22;;1102;2039;
2020-03-23;;1029;2315;
2020-03-24;;1061;2546;
2020-03-25;;1057;2662;
2020-03-26;;1155;2617;
2020-03-27;;1098;2848;
2020-03-28;;1142;2807;
2020-03-29;;1110;2662;
2020-03-30;;1133;2797;
2020-03-31;;1046;2965;
2020-04-01;;1113;2893;
2020-04-02;;1080;2755;
2020-04-03;;1154;2747;
2020-04-04;;1097;2474;
2020-04-05;;1140;2528;
2020-04-06;;1165;2457;
2020-04-07;;1002;2537;
2020-04-08;;1083;2418;
2020-04-09;;1042;2234;
2020-04-10;;1145;2186;
2020-04-11;;1095;2069;
2020-04-12;;1124;1978;
2020-04-13;;1092;1942;
2020-04-14;;1052;1909;
2020-04-15;;1142;1831;
2020-04-16;;1115;1715;
2020-04-17;;1076;1758;
2020-04-18;;1112;1658;
2020-04-19;1220;993;1526;
2020-04-20;1087;982;1487;
2020-04-21;1033;989;1594;
2020-04-22;1049;1015;1397;
2020-04-23;1023;1018;1341;
2020-04-24;1039;1020;1438;
2020-04-25;1107;1081;1340;
2020-04-26;1065;1063;1231;
2020-04-27;1135;1100;1270;
2020-04-28;1036;1025;1293;
2020-04-29;933;1059;1204;
2020-04-30;943;1099;1209;
2020-05-01;1010;1062;1182;
2020-05-02;940;1052;1202;
2020-05-03;1049;1069;1158;
2020-05-04;989;1094;1132;
2020-05-05;1035;942;1278;
2020-05-06;997;1002;1168;
2020-05-07;1055;1122;1175;
2020-05-08;1115;1118;1194;
2020-05-09;1007;1072;1108;
2020-05-10;1077;1051;949;
2020-05-11;1043;1035;1017;
2020-05-12;1022;968;1047;
2020-05-13;939;1015;1077;
2020-05-14;1011;1055;1023;
2020-05-15;1008;1109;1052;
2020-05-16;1035;1057;949;
2020-05-17;1058;1016;968;
2020-05-18;1058;975;942;
2020-05-19;1060;932;995;
2020-05-20;970;977;1056;
