Any,Gener a Desembre del mateix any,Desembre de l'any anterior + Gener a Novembre del mateix any,Novembre i Desembre de l'any anterior + Gener a Octubre del mateix any,Octubre a Desembre de l'any anterior + Gener a Setembre del mateix any,Setembre a Desembre de l'any anterior + Gener a Agost del mateix any,Agost a Desembre de l'any anterior + Gener a Juliol del mateix any,Juliol a Desembre de l'any anterior + Gener a Juny del mateix any,Juny a Desembre de l'any anterior + Gener a Maig del mateix any,Maig a Desembre de l'any anterior + Gener a Abril del mateix any,Abril a Desembre de l'any anterior + Gener a Març del mateix any,Març a Desembre de l'any anterior + Gener a Febrer del mateix any,Febrer a Desembre de l'any anterior + Gener del mateix any,1/100 de la població total per comparar la mortalitat respecte la població
2022,199686.21,242244.89,279497.05,314381.41,347509.89,385917.03,421429.63,454116.87,451044.34,448844.04,447731.49,449521.83,
2021,454621.93,454236.82,459844.66,465196.15,467015.74,464754.64,464113.05,462327.95,463173.32,488980.26,510329.61,505970.24,
2020,496525.84,491734.88,484134.8,477158.02,472518.32,468337.26,467340.22,468649.89,467756.72,441851.54,420875.81,422437.99,
2019,410280,412731,413546,414540,415168,416892,415724,415930,415617,416503,421121,424051,470262.08
2018,427721,432353,432164,431965,431721,430900,430609,430875,431127,429379,425386,423064,467229.8
2017,424523,422046,421656,421036,421082,420974,422011,421287,420615,421114,423533,421647,465721.32
2016,410611,407846,406433,406271,405039,404011,406678,406244,405949,405928,406717,413633,465570.08
2015,422568,422613,422733,422846,423070,422185,417556,417133,415967,414175,410367,402737,466243.82
2014,395830,396394,396020,394587,393749,393345,394392,394026,393808,393413,394566,393728,467713.41
2013,390419,388178,387890,387635,387502,388254,385807,384880,385855,387296,390256,399998,471297.83
2012,402950,404265,404368,405650,406080,406022,406772,407196,406018,404099,399463,389703,472653.21
2011,387911,386867,386801,386318,385561,384671,385896,385308,385489,385820,384788,383374,471904.93
2010,382047,382523,381622,381264,381191,381680,379978,380161,380158,379945,379766,379816,470210.31
2009,384933,386502,387288,387605,387065,386581,387084,387419,386221,387065,388202,389894,467458.07
2008,386324,385275,386272,385924,386515,386118,385697,385062,385820,385757,385224,385144,461578.22
2007,385361,383814,380902,379717,379956,379579,381228,380765,379874,377670,377516,374754,452007.37
2006,371478,370948,370794,370390,368840,367561,364605,364546,364417,365012,368645,374648,447089.64
2005,387355,389118,390402,391154,391528,392736,393449,393053,393434,393638,389765,383531,441085.3
2004,371934,372351,373780,373743,374482,380316,382244,385897,386011,386092,384868,385498,431976.84
2003,384828,381655,378560,377813,376730,369271,366776,363811,362523,362306,363004,364383,427170.64
2002,368618,370752,371688,371346,371174,373791,374054,373802,375236,373656,371748,367559,418378.94
2001,360131,355672,354574,354597,353969,351957,350861,349732,347747,348305,347296,350444,411168.42
2000,360391,363642,363871,363117,363181,363301,363501,361969,361487,361008,365282,372979,404997.91
1999,371102,371562,370064,370321,370124,370340,370965,371818,372083,372162,371271,366106,402021.6
1998,360511,357789,358443,356929,356676,356228,354522,353598,353083,352622,350093,345680,398526.51
1997,349521,351975,352471,353565,354137,352857,353918,354880,355368,354964,356408,356603,
1996,351449,351652,349974,349088,348375,348881,349905,348618,347850,348244,347587,346223,
1995,346227,341885,341325,341630,341202,341621,341925,341733,340998,339503,336240,336705,
1994,338242,340305,341119,341614,341127,340183,336853,336845,336645,337494,342393,342376,
1993,339661,336434,335166,334557,333825,333725,334414,333411,333079,332362,328048,328800,
1992,331515,333472,334851,334683,334912,335093,335982,336773,338129,338327,340147,340684,
1991,337691,339769,338798,337526,337507,336860,336902,336091,334249,333535,330839,329480,
1990,333142,328799,328167,327857,327634,328166,328023,328948,329385,328808,328366,327080,
1989,324796,329123,328898,328412,328686,328081,326188,324673,323466,323021,325730,324143,
1988,319437,315149,315065,315535,314884,314349,313071,312844,312158,311616,307306,306875,
1987,310073,309343,308964,306816,305781,303642,303133,302320,302906,303559,304551,307779,
1986,310413,314030,315019,315106,315018,315309,316286,316498,316763,316808,317951,314035,
1985,312532,308012,305927,306596,306013,304955,304311,304985,303868,303339,304311,304566,
1984,299409,299889,299667,297659,297558,297006,296179,295043,294647,293002,289929,295313,
1983,302569,305085,305293,306647,305154,305501,305703,305297,304988,304443,302967,295989,
1982,286655,283145,281839,280804,280934,280101,278765,280135,280008,279843,281430,283978,
1981,293386,299162,300007,300525,301593,302982,302792,300884,300491,300134,299008,296168,
