Any;January to December of the same year;December of the previous year + January to November of the same year;November and December of the previous year + January to October of the same year;October to December of the previous year + January to September of the same year;September to December of the previous year + January to August of the same year;August to December of the previous year + January to July of the same year;July to December of the previous year + January to June of the same year;June to December of the previous year + January to May of the same year
2020;353.626;387.781;420.646;446.168;441.465;437.21;435.89;436.704
2019;410.28;412.731;413.546;414.54;415.168;416.892;415.724;415.93
2017;424.523;422.046;421.656;421.036;421.082;420.974;422.011;421.287
2016;410.611;407.846;406.433;406.271;405.039;404.011;406.678;406.244
2015;422.568;422.613;422.733;422.846;423.07;422.185;417.556;417.133
2014;395.83;396.394;396.02;394.587;393.749;393.345;394.392;394.026
2013;390.419;388.178;387.89;387.635;387.502;388.254;385.807;384.88
2012;402.95;404.265;404.368;405.65;406.08;406.022;406.772;407.196
2011;387.911;386.867;386.801;386.318;385.561;384.671;385.896;385.308
2010;382.047;382.523;381.622;381.264;381.191;381.68;379.978;380.161
2009;384.933;386.502;387.288;387.605;387.065;386.581;387.084;387.419
2008;386.324;385.275;386.272;385.924;386.515;386.118;385.697;385.062
2007;385.361;383.814;380.902;379.717;379.956;379.579;381.228;380.765
2006;371.478;370.948;370.794;370.39;368.84;367.561;364.605;364.546
2005;387.355;389.118;390.402;391.154;391.528;392.736;393.449;393.053
2004;371.934;372.351;373.78;373.743;374.482;380.316;382.244;385.897
2003;384.828;381.655;378.56;377.813;376.73;369.271;366.776;363.811
2002;368.618;370.752;371.688;371.346;371.174;373.791;374.054;373.802
2001;360.131;355.672;354.574;354.597;353.969;351.957;350.861;349.732
2000;360.391;363.642;363.871;363.117;363.181;363.301;363.501;361.969
1999;371.102;371.562;370.064;370.321;370.124;370.34;370.965;371.818
1998;360.511;357.789;358.443;356.929;356.676;356.228;354.522;353.598
1997;349.521;351.975;352.471;353.565;354.137;352.857;353.918;354.88
1996;351.449;351.652;349.974;349.088;348.375;348.881;349.905;348.618
1995;346.227;341.885;341.325;341.63;341.202;341.621;341.925;341.733
1994;338.242;340.305;341.119;341.614;341.127;340.183;336.853;336.845
1993;339.661;336.434;335.166;334.557;333.825;333.725;334.414;333.411
1992;331.515;333.472;334.851;334.683;334.912;335.093;335.982;336.773
1991;337.691;339.769;338.798;337.526;337.507;336.86;336.902;336.091
1990;333.142;328.799;328.167;327.857;327.634;328.166;328.023;328.948
1989;324.796;329.123;328.898;328.412;328.686;328.081;326.188;324.673
1988;319.437;315.149;315.065;315.535;314.884;314.349;313.071;312.844
1987;310.073;309.343;308.964;306.816;305.781;303.642;303.133;302.32
1986;310.413;314.03;315.019;315.106;315.018;315.309;316.286;316.498
1985;312.532;308.012;305.927;306.596;306.013;304.955;304.311;304.985
1984;299.409;299.889;299.667;297.659;297.558;297.006;296.179;295.043
1983;302.569;305.085;305.293;306.647;305.154;305.501;305.703;305.297
1982;286.655;283.145;281.839;280.804;280.934;280.101;278.765;280.135
1981;293.386;299.162;300.007;300.525;301.593;302.982;302.792;300.884
