Fecha,2018,2019,2020,INE2018
2020-10-01,968,1027,1153,1172
2020-10-02,983,997,1128,1172
2020-10-03,1033,940,1143,1172
2020-10-04,998,987,1042,1172
2020-10-05,1004,931,1110,1172
2020-10-06,1007,873,1118,1172
2020-10-07,931,950,1225,1172
2020-10-08,911,988,1180,1172
2020-10-09,1025,1032,1262,1172
2020-10-10,1070,999,1190,1172
2020-10-11,1014,1069,1099,1172
2020-10-12,1080,1030,1060,1172
2020-10-13,1030,919,1157,1172
2020-10-14,965,979,1160,1172
2020-10-15,948,969,1173,1172
2020-10-16,1005,1065,1229,1172
2020-10-17,1061,1067,1208,1172
2020-10-18,1045,1046,1154,1172
2020-10-19,1024,954,1275,1172
2020-10-20,997,915,1314,1172
2020-10-21,962,978,1333,1172
2020-10-22,931,1103,1302,1172
2020-10-23,1040,988,1306,1172
2020-10-24,965,1050,1265,1172
2020-10-25,986,1011,1241,1172
2020-10-26,1018,1047,1230,1172
2020-10-27,1044,949,1310,1172
2020-10-28,1063,1013,1257,1172
2020-10-29,1033,1068,1321,1172
2020-10-30,1036,991,1370,1172
2020-10-31,1101,1054,1415,1172
2020-11-01,1067,1106,1266,1172
2020-11-02,1063,1097,1368,1172
2020-11-03,1135,993,1430,1172
2020-11-04,1059,1061,1400,1172
2020-11-05,1030,1071,1421,1172
2020-11-06,1098,1005,1484,1172
2020-11-07,1113,1012,1371,1172
2020-11-08,1081,1108,1366,1172
2020-11-09,1152,1061,1354,1172
2020-11-10,1106,1026,1412,1172
2020-11-11,1120,1018,1382,1172
2020-11-12,1090,1102,1366,1172
2020-11-13,1139,1119,1424,1172
2020-11-14,1044,1161,1277,1172
2020-11-15,1102,1107,1325,1172
2020-11-16,1151,1095,1358,1172
2020-11-17,1119,1058,1374,1172
2020-11-18,997,1055,1368,1172
2020-11-19,1044,1152,1345,1172
2020-11-20,1115,1162,1364,1172
2020-11-21,1077,1131,1251,1172
2020-11-22,1104,1178,1190,1172
2020-11-23,1095,1151,1295,1172
2020-11-24,1104,987,1276,1172
2020-11-25,1039,1084,1288,1172
2020-11-26,1078,1181,1426,1172
2020-11-27,1075,1145,1359,1172
2020-11-28,1089,1172,1242,1172
2020-11-29,1145,1180,1193,1172
2020-11-30,1119,1087,1241,1172
2020-12-01,1117,1061,1302,1172
2020-12-02,1043,1061,1391,1172
2020-12-03,1081,1135,1377,1172
2020-12-04,1114,1099,1357,1172
2020-12-05,1233,1102,1306,1172
2020-12-06,1095,1099,1265,1172
2020-12-07,1061,1046,1233,1172
2020-12-08,1100,1068,1286,1172
2020-12-09,985,1091,1328,1172
2020-12-10,1126,1084,1373,1172
2020-12-11,1061,1166,1398,1172
2020-12-12,1229,1157,1295,1172
2020-12-13,1189,1215,1244,1172
2020-12-14,1172,1114,1304,1172
2020-12-15,1124,1104,1299,1172
2020-12-16,1072,1088,1239,1172
2020-12-17,1088,1086,1195,1172
2020-12-18,1138,1162,1300,1172
2020-12-19,1161,1108,1173,1172
2020-12-20,1217,1217,1211,1172
2020-12-21,1156,1130,1120,1172
2020-12-22,1197,1042,1065,1172
2020-12-23,1165,1066,548,1172
2020-12-24,1129,1114,491,1172
2020-12-25,1112,1080,978,1172
2020-12-26,1173,1065,1106,1172
2020-12-27,1227,1154,,1172
2020-12-28,1263,1056,,1172
2020-12-29,1237,1038,,1172
2020-12-30,1163,1042,,1172
2020-12-31,1111,1105,,1172
2021-01-01,,,,1172
