Kalenderwoche;2016;2017;2018;2019;2020
2020-01-01;18467;20918;19342;18686;18900
2020-01-08;18439;22070;18770;19170;19428
2020-01-15;18627;21236;19187;19163;19178
2020-01-22;18707;22083;19171;19505;18936
2020-01-29;18493;23640;19558;19812;19795
2020-02-05;18541;22744;20086;19981;19026
2020-02-12;18483;22683;21254;20150;19636
2020-02-19;18475;22266;22888;20349;18940
2020-02-26;18926;20930;25535;20790;19483
2020-03-04;18888;19102;26777;20453;19638
2020-03-11;18971;18665;24385;19795;19876
2020-03-18;18826;17640;22777;19016;19732
2020-03-25;18617;17731;20906;18562;19696
2020-04-01;18244;17028;20038;18671;20640
2020-04-08;17712;16901;19165;17852;20501
2020-04-15;16775;16637;17992;18089;19275
2020-04-22;17053;17634;17093;17894;18545
2020-04-29;16901;17129;16789;17090;17901
2020-05-06;17629;17343;17226;17118;17623
2020-05-13;16601;17079;16488;17315;16970
2020-05-20;16286;16451;16513;17080;17144
2020-05-27;16346;16902;17039;16921;16750
2020-06-03;15799;15846;16714;17491;17262
2020-06-10;15717;16087;15582;16484;16585
2020-06-17;16910;16819;15843;16639;16379
2020-06-24;15699;16076;16569;17918;17263
2020-07-01;16229;16424;16622;16552;16419
2020-07-08;16172;15603;16070;16319;16136
2020-07-15;16985;16589;16702;16856;16497
2020-07-22;16157;16058;18340;19630;16884
2020-07-29;15439;16494;20371;17034;17377
2020-08-05;15487;15784;18478;16540;17453
2020-08-12;16258;16148;16890;15934;19638
2020-08-19;17147;15880;16612;16263;17511
2020-08-26;16101;16064;16000;17637;16594
2020-09-02;16116;15706;16390;15988;16684
2020-09-09;16372;16146;16292;16303;17039
2020-09-16;15606;16505;16651;16500;17466
2020-09-23;16336;16747;15969;17402;17323
2020-09-30;16352;16664;16622;16899;17495
2020-10-07;17427;17470;16993;17666;17352
2020-10-14;17599;17139;16552;17713;17581
2020-10-21;17586;17059;16608;17327;18387
2020-10-28;17580;16762;16895;17488;18317
2020-11-04;17782;17371;17604;17859;18690
2020-11-11;18591;17594;16842;18242;19161
2020-11-18;17911;17676;17785;18535;
2020-11-25;18146;17877;18091;18581;
2020-12-02;18793;18295;18342;19143;
2020-12-09;18885;18504;17943;19101;
2020-12-16;19376;18500;18990;19062;
2020-12-23;19744;18652;17954;18204;
