Kalenderwoche,2016,2017,2018,2019,2020,2021,2022,2023
2020-01-01,18467,20918,19342,18686,18883,24919,20763,25034
2020-01-08,18439,22070,18770,19170,19408,24532,19878,22397
2020-01-15,18627,21236,19187,19163,18953,24129,19805,20961
2020-01-22,18707,22083,19171,19505,18827,22674,20198,20359
2020-01-29,18493,23640,19558,19812,19774,21773,20691,20891
2020-02-05,18541,22744,20086,19981,19038,20946,20485,20669
2020-02-12,18483,22683,21254,20150,19648,20493,21187,21230
2020-02-19,18475,22266,22888,20349,18953,18979,20411,
2020-02-26,18926,20930,25535,20790,19505,18455,20770,
2020-03-04,18888,19102,26777,20453,19667,18606,21219,
2020-03-11,18971,18665,24385,19795,19849,18374,21348,
2020-03-18,18826,17640,22777,19016,19722,18437,21201,
2020-03-25,18617,17731,20906,18562,19678,18520,20872,
2020-04-01,18244,17028,20038,18671,20662,18873,20923,
2020-04-08,17712,16901,19165,17852,20502,19098,20250,
2020-04-15,16775,16637,17992,18089,19261,19282,19577,
2020-04-22,17053,17634,17093,17894,18557,19555,19368,
2020-04-29,16901,17129,16789,17090,17920,19329,19216,
2020-05-06,17629,17343,17226,17118,17651,18579,19234,
2020-05-13,16601,17079,16488,17315,17001,17811,18554,
2020-05-20,16286,16451,16513,17080,17163,17193,17203,
2020-05-27,16346,16902,17039,16921,16776,18191,18073,
2020-06-03,15799,15846,16714,17491,17262,17442,17955,
2020-06-10,15717,16087,15582,16484,16601,19076,18453,
2020-06-17,16910,16819,15843,16639,16401,17191,19011,
2020-06-24,15699,16076,16569,17918,17293,17013,18533,
2020-07-01,16229,16424,16622,16552,16457,16994,18153,
2020-07-08,16172,15603,16070,16319,16142,17662,18971,
2020-07-15,16985,16589,16702,16856,16537,17613,20955,
2020-07-22,16157,16058,18340,19630,16887,17211,20266,
2020-07-29,15439,16494,20371,17034,17433,17021,19941,
2020-08-05,15487,15784,18478,16540,17470,17560,19799,
2020-08-12,16258,16148,16890,15934,19720,17501,19885,
2020-08-19,17147,15880,16612,16263,17559,17151,18943,
2020-08-26,16101,16064,16000,17637,16656,17341,18258,
2020-09-02,16116,15706,16390,15988,16789,18879,18758,
2020-09-09,16372,16146,16292,16303,17155,18057,18194,
2020-09-16,15606,16505,16651,16500,17555,18157,19043,
2020-09-23,16336,16747,15969,17402,17446,18129,20351,
2020-09-30,16352,16664,16622,16899,17614,18209,20567,
2020-10-07,17427,17470,16993,17666,17501,18949,21734,
2020-10-14,17599,17139,16552,17713,17754,19761,21780,
2020-10-21,17586,17059,16608,17327,18588,20387,21369,
2020-10-28,17580,16762,16895,17488,18584,20426,19872,
2020-11-04,17782,17371,17604,17859,19007,21071,20078,
2020-11-11,18591,17594,16842,18242,19727,22344,20715,
2020-11-18,17911,17676,17785,18535,20182,23273,21323,
2020-11-25,18146,17877,18091,18581,21304,24185,22106,
2020-12-02,18793,18295,18342,19143,22604,24032,23905,
2020-12-09,18885,18504,17943,19101,24003,23009,25821,
2020-12-16,19376,18500,18990,19062,24724,22479,28420,
2020-12-23,19744,18652,17954,18204,25554,22172,27004,
2020-12-30,,,,,25541,,,
