Fecha;2015;2016;2017;2018;2019;2020
2020-01-01;9605;8658;10726;11204;9127;8905
2020-01-08;10415;8671;11414;10905;10019;9614
2020-01-15;10738;8791;11334;10981;10473;10112
2020-01-22;10625;8491;11068;10324;10141;9612
2020-01-29;11046;8461;10636;9893;9964;9648
2020-02-05;10682;8556;9660;10015;9676;9402
2020-02-12;10857;8479;9017;10105;9357;8986
2020-02-19;10580;8670;8670;9656;9210;8513
2020-02-26;10058;8645;8371;9599;8919;8001
2020-03-04;9421;8653;8213;9203;8588;8656
2020-03-11;8785;8811;7906;8862;8202;9288
2020-03-18;8379;8291;7875;8616;8022;12679
2020-03-25;8366;8375;7827;8628;8169;19223
2020-04-01;8282;7998;7814;8414;8081;20656
2020-04-08;7894;7859;7800;8335;8049;17230
2020-04-15;7855;7589;7574;8112;7802;13135
2020-04-22;7802;7462;7661;7735;7754;10344
2020-04-29;7365;7606;7520;7359;7742;8835
2020-05-06;7464;7374;7622;7595;7726;8596
2020-05-13;7543;7533;7494;7511;7535;7586
2020-05-20;7234;7304;7666;7527;7429;7660
2020-05-27;7096;7255;7092;7306;7619;7223
2020-06-03;7364;7576;7067;7109;7512;7214
2020-06-10;7152;7140;7819;7154;7010;6950
2020-06-17;6956;7173;7991;7713;7399;7165
2020-06-24;7111;7345;7137;7698;7566;7646
2020-07-01;8146;7505;7156;7305;8048;7751
2020-07-08;8351;7423;7214;7366;7457;7850
2020-07-15;8164;7377;7259;7186;7293;7715
2020-07-22;7798;7295;7110;7155;7461;7923
2020-07-29;7349;7425;7596;7731;7128;8630
2020-08-05;7219;7233;7186;8003;7313;8530
2020-08-12;7075;7102;7118;7194;7117;8285
2020-08-19;6801;7184;7219;7015;6908;7995
2020-08-26;6954;7100;7013;6927;6894;8052
2020-09-02;6603;7203;6680;6906;6890;7895
2020-09-09;6660;6641;6730;6834;6928;8167
2020-09-16;6617;6956;7091;7153;6994;8321
2020-09-23;6898;7036;7367;7230;7019;8276
2020-09-30;6813;7072;7388;7210;6963;8328
2020-10-07;7055;7036;7234;7437;7297;8781
2020-10-14;7119;7185;7392;7350;7292;8745
2020-10-21;7267;7512;7308;7327;7516;9675
2020-10-28;7392;7244;7511;7794;7668;9775
2020-11-04;7412;7775;7632;8012;7661;10208
2020-11-11;7325;8076;8063;7999;8016;
2020-11-18;7397;8090;8169;7932;8213;
2020-11-25;7849;8321;8257;7929;8287;
2020-12-02;8080;8124;8620;8051;7942;
2020-12-09;8032;8612;9262;8312;8239;
2020-12-16;8342;8980;9628;8427;8269;
2020-12-23;8031;9855;10412;8650;8113;
2020-12-30;8427;;;;;
