Fecha,2015,2016,2017,2018,2019,2020,2021,2022
2020-01-01,9605,8658,10726,11204,9127,8710,10470,9987
2020-01-08,10415,8671,11414,10905,10025,9398,11858,10695
2020-01-15,10738,8791,11334,10981,10476,9917,12950,10849
2020-01-22,10625,8491,11068,10324,10141,9954,12701,11223
2020-01-29,11046,8461,10636,9893,9964,9974,11571,10902
2020-02-05,10682,8556,9660,10015,9686,9192,10368,10030
2020-02-12,10857,8479,9017,10105,9363,8839,9488,9279
2020-02-19,10580,8670,8670,9656,9216,8413,9032,8947
2020-02-26,10058,8645,8371,9599,8920,8379,8542,8634
2020-03-04,9421,8653,8213,9203,8595,8465,8318,8506
2020-03-11,8785,8811,7906,8862,8205,9481,8077,8532
2020-03-18,8379,8291,7875,8616,8027,12843,8189,8538
2020-03-25,8366,8375,7827,8628,8171,19828,8195,8506
2020-04-01,8282,7998,7814,8414,8087,20967,8080,8716
2020-04-08,7894,7859,7800,8335,8055,17325,7947,8700
2020-04-15,7855,7589,7574,8112,7801,13244,8084,8400
2020-04-22,7802,7462,7661,7735,7759,10452,7867,8507
2020-04-29,7365,7606,7520,7359,7744,9008,8062,8491
2020-05-06,7464,7374,7622,7595,7731,8458,7738,8821
2020-05-13,7543,7533,7494,7511,7536,7536,7606,8910
2020-05-20,7234,7304,7666,7527,7436,7643,7437,8228
2020-05-27,7096,7255,7092,7306,7618,7620,7353,8136
2020-06-03,7364,7576,7067,7109,7508,7144,7710,8184
2020-06-10,7152,7140,7819,7154,7016,6849,7799,9359
2020-06-17,6956,7173,7991,7713,7404,7032,7285,8577
2020-06-24,7111,7345,7137,7698,7570,7512,7557,8595
2020-07-01,8146,7505,7156,7305,8050,7635,7544,9105
2020-07-08,8351,7423,7214,7366,7463,7732,7563,10877
2020-07-15,8164,7377,7259,7186,7301,7562,8481,10968
2020-07-22,7798,7295,7110,7155,7464,7827,8362,9907
2020-07-29,7349,7425,7596,7731,7136,8589,8642,9424
2020-08-05,7219,7233,7186,8003,7317,8394,8860,9307
2020-08-12,7075,7102,7118,7194,7128,8170,8766,8078
2020-08-19,6801,7184,7219,7015,6920,7886,8214,8138
2020-08-26,6954,7100,7013,6927,6898,7954,7936,7739
2020-09-02,6603,7203,6680,6906,6904,7777,7895,7648
2020-09-09,6660,6641,6730,6834,6939,7998,7504,7632
2020-09-16,6617,6956,7091,7153,6996,8168,7430,7426
2020-09-23,6898,7036,7367,7230,7027,8064,7548,7531
2020-09-30,6813,7072,7388,7210,6978,8188,7526,7978
2020-10-07,7055,7036,7234,7437,7312,8593,7586,7800
2020-10-14,7119,7185,7392,7350,7314,8594,7744,8187
2020-10-21,7267,7512,7308,7327,7543,9470,8179,7998
2020-10-28,7392,7244,7511,7794,7698,9596,7821,7689
2020-11-04,7412,7775,7632,8012,7677,10316,8717,8224
2020-11-11,7325,8076,8063,7999,8036,10030,8793,8435
2020-11-18,7397,8090,8169,7932,8217,9695,8846,8523
2020-11-25,7849,8321,8257,7929,8328,9534,9386,9019
2020-12-02,8080,8124,8620,8051,8021,9541,9017,9469
2020-12-09,8032,8612,9262,8312,8340,9534,9503,9489
2020-12-16,8342,8980,9628,8427,8393,9287,9780,9626
2020-12-23,8031,9855,10412,8650,8333,9015,9845,9401
2020-12-30,8427,,,,,9524,,
