Fecha,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
2013-02-22,388083,376297,43,,,,,,,,
2013-03-25,388114,396193,24105,,,,,,,,
2013-04-25,388164,400567,58296,,,,,,,,
2013-06-11,388221,401443,113564,,,,,,,,
2013-09-11,388229,401521,130903,,,,,,,,
2013-09-26,388275,402231,205120,,,,,,,,
2013-11-04,388294,402417,243982,,,,,,,,
2014-02-10,388337,403076,319537,,,,,,,,
2014-02-20,388373,403306,371302,41,,,,,,,
2014-03-20,388395,403333,382245,24225,,,,,,,
2014-05-05,388417,403404,386175,61480,,,,,,,
2014-05-21,388426,403455,386698,78006,,,,,,,
2014-07-01,388490,403556,387324,126429,,,,,,,
2014-07-21,388495,403568,387393,140025,,,,,,,
2014-09-26,388513,403593,387822,211907,,,,,,,
2014-11-28,388537,403618,387971,276705,,,,,,,
2015-01-14,388539,403633,388053,310711,,,,,,,
2015-01-27,388580,403666,388081,331050,,,,,,,
2015-03-25,388596,403692,388156,389254,27292,,,,,,
2015-04-24,388600,403694,388172,392107,56352,,,,,,
2015-05-22,388602,403700,388182,394198,93572,,,,,,
2015-06-24,388610,403716,388211,394731,131500,,,,,,
2015-07-30,388612,403717,388230,394951,174070,,,,,,
2015-09-21,388614,403719,388236,395088,204845,,,,,,
2015-10-22,388622,403725,388257,395299,260903,,,,,,
2015-11-24,388627,403732,388260,395259,294572,,,,,,
2015-12-16,388628,403732,388262,395261,305578,,,,,,
2016-01-25,388629,403736,388275,395289,330265,,,,,,
2016-02-26,388634,403737,388297,395319,382496,,,,,,
2016-04-16,388654,403744,388314,395415,420884,60566,,,,,
2016-05-26,388655,403747,388316,395447,421962,95821,,,,,
2016-06-26,388657,403747,388320,395454,422250,119401,,,,,
2016-08-10,388660,403748,388328,395464,422366,148846,,,,,
2016-09-23,388664,403752,388331,395471,422525,200849,,,,,
2016-11-18,388668,403755,388332,395482,422600,280939,,,,,
2017-01-18,388678,403757,388343,395492,422725,352215,,,,,
2017-03-03,388678,403759,388344,395495,422745,386774,45,,,,
2017-05-10,388683,403768,388352,395506,422781,404453,69149,,,,
2017-06-30,388689,403783,388358,395510,422801,407958,141849,,,,
2017-09-01,388693,403795,388362,395516,422833,408479,173369,,,,
2017-11-02,388695,403803,388363,395524,422840,408701,203572,,,,
2017-11-27,388708,403811,388371,395530,422847,408842,264257,,,,
2017-12-14,388710,403811,388372,395530,422848,408963,284701,,,,
2017-12-20,388713,403825,388387,395537,422857,409036,319609,,,,
2018-01-22,388722,403850,388389,395539,422859,409069,351428,,,,
2018-02-28,388729,403857,388401,395546,422865,409090,389238,52,,,
2018-04-12,388733,403865,388402,395549,422871,409108,406496,6883,,,
2018-05-11,388739,403876,388409,395569,422889,409168,418891,67348,,,
2018-06-19,388746,403889,388418,395588,422914,409209,421013,147595,,,
2018-08-01,388754,403894,388426,395593,422921,409218,421472,180183,,,
2018-08-16,388758,403900,388427,395595,422924,409224,421548,202706,,,
2018-09-28,388762,403900,388427,395596,422927,409246,421663,235872,,,
2018-10-18,388764,403901,388427,395597,422936,409254,421728,272453,,,
2018-11-21,388770,403909,388435,395609,422950,409274,421905,308606,,,
2018-12-20,388772,403913,388435,395610,422954,409277,421923,336907,,,
2019-01-18,388774,403913,388438,395611,422956,409279,421961,364802,,,
2019-02-25,388777,403917,388442,395613,422956,409283,421985,399741,1,,
2019-03-25,388778,403921,388442,395614,422960,409287,422013,422678,29209,,
2019-05-05,388781,403924,388444,395617,422967,409289,422020,424131,47489,,
2019-05-21,388786,403924,388448,395620,422967,409291,422024,424521,64362,,
2019-06-19,388787,403926,388449,395623,422971,409296,422034,426825,111627,,
2019-07-26,388788,403927,388449,395629,422975,409301,422037,426881,141299,,
2019-10-09,388792,403930,388450,395634,422979,409304,422055,427364,208859,,
2019-11-20,388797,403935,388458,395646,423000,409342,422100,427679,266413,,
2020-01-29,388799,403937,388459,395652,423006,409349,422116,427822,343129,,
2020-02-19,388800,403938,388460,395653,423011,409349,422123,427893,394304,77,
2020-03-24,388802,403941,388462,395656,423011,409353,422126,427909,410932,22822,
2020-04-28,388802,403942,388463,395656,423011,409355,422128,427910,411600,31914,
2020-06-02,388802,403942,388463,395656,423011,409355,422128,427914,414216,51924,
2020-07-29,388802,403942,388463,395656,423012,409355,422129,427941,416317,181777,
2020-08-20,388802,403942,388465,395657,423012,409357,422130,427942,416434,229887,
2020-09-21,388802,403942,388465,395657,423012,409358,422130,427956,416480,260576,
2020-10-23,388802,403942,388465,395659,423012,409359,422133,427957,416602,305802,
2020-11-20,388802,403942,388465,395659,423012,409360,422136,427959,416637,328499,
2020-12-17,388804,403943,388467,395659,423014,409363,422142,427967,418556,366163,
2021-01-22,388804,403943,388467,395659,423014,409364,422150,427971,418574,401359,
2021-02-19,388804,403943,388467,395660,423015,409366,422151,427984,418592,463807,73
2021-03-23,388807,403944,388468,395663,423017,409367,422152,427993,418633,483237,30852
2021-04-23,388809,403944,388468,395663,423017,409367,422156,427997,418643,490155,73546
2021-05-21,388810,403944,388468,395663,423017,409371,422156,428004,418656,491127,121658
2021-06-22,388813,403944,388468,395663,423017,409371,422156,428004,418659,491744,145293
2021-07-21,388813,403944,388469,395663,423018,409373,422158,428005,418666,492572,189625
2021-08-27,388814,403944,388469,395663,423018,409374,422158,428005,418668,493007,220520
2021-09-22,388815,403944,388469,395663,423019,409374,422158,428007,418672,493142,252201
2021-10-22,388816,403945,388469,395663,423019,409374,422158,428007,418673,493214,288561
