Fecha,Proportion of people aged 65 and over,Aging Index,Average Age of the Population,Median Age of the Population
1975,10.20,34.99,33.00,30.02
1976,10.39,35.82,33.10,30.13
1977,10.53,36.50,33.20,30.18
1978,10.70,37.35,33.33,30.28
1979,10.86,38.26,33.48,30.45
1980,11.05,39.47,33.68,30.66
1981,11.24,40.85,33.90,30.85
1982,11.37,42.09,34.13,31.01
1983,11.52,43.56,34.39,31.22
1984,11.68,45.15,34.66,31.47
1985,11.83,46.74,34.95,31.75
1986,12.08,48.85,35.24,32.03
1987,12.37,51.35,35.54,32.32
1988,12.73,54.34,35.87,32.65
1989,13.06,57.51,36.19,32.99
1990,13.41,60.96,36.52,33.35
1991,13.75,64.77,36.86,33.74
1992,14.07,68.63,37.14,34.09
1993,14.35,72.54,37.43,34.43
1994,14.66,76.78,37.71,34.79
1995,14.98,81.38,38.02,35.18
1996,15.32,86.18,38.33,35.58
1997,15.63,90.81,38.64,35.98
1998,15.97,95.46,38.94,36.38
1999,16.29,99.88,39.23,36.78
2000,16.53,103.33,39.51,37.17
2001,16.79,106.48,39.78,37.57
2002,17.01,109.03,40.01,37.93
2003,16.96,109.16,40.11,38.13
2004,16.80,108.15,40.21,38.33
2005,16.56,106.93,40.34,38.56
2006,16.64,107.39,40.46,38.78
2007,16.54,106.34,40.57,39.01
2008,16.44,105.25,40.64,39.17
2009,16.56,105.26,40.78,39.45
2010,16.80,106.12,41.01,39.86
2011,17.11,107.35,41.27,40.31
2012,17.36,108.34,41.54,40.77
2013,17.68,109.53,41.83,41.25
2014,18.15,112.24,42.16,41.81
2015,18.50,114.72,42.46,42.33
2016,18.72,116.28,42.72,42.78
2017,18.96,118.26,42.97,43.22
2018,19.20,120.46,43.18,43.61
2019,19.40,122.88,43.38,43.96
2020,19.58,125.75,43.58,44.30
