CCAA,1999,2000,2005,2009,2012,2014,2015,2017,2018,2020,2021,2022,XXX
01 Andalucía,62163,60366,65904,64730,68361,66322,72001,71234,72806,79484.93,80622.83,50942.67,84142.4
02 Aragón,13492,12576,13682,13268,13724,13742,14339,14208,14100,16882.08,15183.15,10244.24,13192.91
03 Principado\nAsturias,12649,12393,12703,12759,13151,12812,13550,13152,13238,14642.6,13475.57,8770.13,10228
04 Illes\nBalears,7418,7310,7361,7794,8068,7847,8322,8353,8206,8683.11,8928.82,5989.42,11494.6
05 Canarias,11999,12030,12799,12896,14081,14331,15110,15254,16310,16911.8,17591.05,12065.06,21533.89
06 Cantabria,5385,5335,5370,5513,5812,5899,6041,5958,6096,6393.98,5834.55,4364.94,5810.78
07 Castilla\ny León,26382,25676,27468,27148,28259,27787,29302,28979,29297,36744.88,29902.67,20229.67,23995.48
08 Castilla\nLa Mancha,17421,16752,18028,17771,19051,18379,19923,20208,19574,26522.17,20836.99,13259.21,20328.63
09 Cataluña,58324,55928,61777,60261,62977,61319,64866,66165,66562,80765.64,70013.03,44030.92,76752.17
10 Comunitat\nValenciana,38253,36563,40240,40085,42303,41550,44351,44804,45330,49416.39,50731.86,31630.17,50037.69
11 Extremadura,10821,10361,11171,10748,11347,10799,11519,11585,11451,12963.67,12137.97,8030.96,10677.1
12 Galicia,29293,28858,29383,30180,30871,29929,31688,31962,32419,33128.93,33218.44,21911.68,26994.99
13 Comunidad\nde Madrid,38082,37838,40842,41268,42799,43064,46859,47069,46599,65742.01,49974.6,32364.79,66633.94
14 Región\nde Murcia,9692,9204,9942,10331,10680,10397,11233,11522,11327,12394.96,12735.77,8434.87,14938.98
15 Comunidad\nForal de Navarra,5007,4935,5196,5147,5376,5511,5680,5844,5819,6765.52,5874.38,4053.13,6542.14
16 País Vasco,18400,18243,19417,19614,20281,20166,21511,21634,21763,24119.25,22959.4,14946.13,22077.76
17 La Rioja,2772,2544,2862,2745,3023,2886,3093,3052,3205,3734.96,3428.87,2127.48,3167.98
18 Ceuta\n19 Melilla,900,876,911,951,958,994,1020,1054,1051,1227.54,1170.85,629.63,1712.64
