CCAA,1999,2000,2005,2009,2012,2014,2015,2017,2018,2020,2021,2022,2023,XXX
01 Andalucía,62163,60366,65904,64730,68361,66322,72001,71234,72806,79445.77,80024.44,79553.32,36439.8,84142.4
02 Aragón,13492,12576,13682,13268,13724,13742,14339,14208,14100,17857.35,15296.81,16340.22,7136.72,13192.91
03 Principado\nAsturias,12649,12393,12703,12759,13151,12812,13550,13152,13238,14617.85,13410.78,14010.78,6337.09,10228
04 Illes\nBalears,7418,7310,7361,7794,8068,7847,8322,8353,8206,8716.74,8848.62,9579.93,4371.54,11494.6
05 Canarias,11999,12030,12799,12896,14081,14331,15110,15254,16310,16989.25,17405.41,19293.51,8723.67,21533.89
06 Cantabria,5385,5335,5370,5513,5812,5899,6041,5958,6096,6583.1,5981.8,6900.02,2929.92,5810.78
07 Castilla\ny León,26382,25676,27468,27148,28259,27787,29302,28979,29297,36640.64,29714.33,31799.87,13642.94,23995.48
08 Castilla\nLa Mancha,17421,16752,18028,17771,19051,18379,19923,20208,19574,26334.21,20609.93,20896.74,9772.49,20328.63
09 Cataluña,58324,55928,61777,60261,62977,61319,64866,66165,66562,80318.03,69106.45,70812.93,32736.08,76752.17
10 Comunitat\nValenciana,38253,36563,40240,40085,42303,41550,44351,44804,45330,49389.98,50306.25,50528.62,22870.89,50037.69
11 Extremadura,10821,10361,11171,10748,11347,10799,11519,11585,11451,13059.02,12145.88,12377.32,5627.96,10677.1
12 Galicia,29293,28858,29383,30180,30871,29929,31688,31962,32419,33042.2,32955.68,35163.54,15911.9,26994.99
13 Comunidad\nde Madrid,38082,37838,40842,41268,42799,43064,46859,47069,46599,66785.36,50270.52,51402.46,22905.71,66633.94
14 Región\nde Murcia,9692,9204,9942,10331,10680,10397,11233,11522,11327,12426.99,12691.12,13161.04,5854.22,14938.98
15 Comunidad\nForal de Navarra,5007,4935,5196,5147,5376,5511,5680,5844,5819,6793.17,5857.77,6393.72,2856.35,6542.14
16 País Vasco,18400,18243,19417,19614,20281,20166,21511,21634,21763,24111.23,22872.52,23874.44,10604.19,22077.76
17 La Rioja,2772,2544,2862,2745,3023,2886,3093,3052,3205,3735.9,3417.71,3481.17,1571.03,3167.98
18 Ceuta\n19 Melilla,900,876,911,951,958,994,1020,1054,1051,1211.73,1137.46,1031.75,476.38,1712.64
