Year,INDef,INE-6545,INE-35177
1990,330594,333142,
1991,334583,337691,
1992,325321,331515,
1993,334693,339661,
1994,331269,338242,
1995,338459,346227,
1996,329881,351449,
1997,349533,349521,
1998,360485,360511,
1999,371624,371102,
2000,360369,360391,355073
2001,333640,360131,356305
2002,327639,368618,365140
2003,384188,384828,380924
2004,372564,371934,376337
2005,373387,387355,383220
2006,372626,371478,368166
2007,386887,385361,382093
2008,385493,386324,381348
2009,383010,384933,390740
2010,383425,382047,379188
2011,388804,387911,384854
2012,403943,402950,398739
2013,388467,390419,387254
2014,395660,395830,392255
2015,423015,422568,427851
2016,409366,410611,406128
2017,422151,424523,420589
2018,427984,427721,423994
2019,418592,,414914
2020,463807,,501086
