Year,INDef,INE-6545,INE-35177
1990,330595,333142,
1991,334583,337691,
1992,325321,331515,
1993,334694,339661,
1994,331269,338242,
1995,338459,346227,
1996,329880,351449,
1997,349529,349521,
1998,360483,360511,
1999,371622,371102,
2000,360364,360391,355073
2001,333639,360131,356305
2002,327644,368618,365140
2003,384176,384828,380924
2004,372565,371934,376337
2005,373389,387355,383220
2006,372632,371478,368166
2007,386893,385361,382093
2008,385488,386324,381348
2009,382681,384933,390740
2010,383293,382047,379188
2011,388752,387911,384854
2012,403814,402950,398739
2013,388376,390419,387254
2014,395607,395830,392255
2015,422944,422568,427851
2016,409316,410611,406128
2017,422112,424523,420589
2018,428013,427721,423994
2019,418813,,414914
2020,493432,,498856
2021,450034,,447772
2022,437258,,462608
2023,54,,78817
