Fecha,Diariamente,Media INE2018
2020-05-30,0,1172
2020-05-31,977,1172
2020-06-01,997,1172
2020-06-02,1142,1172
2020-06-03,980,1172
2020-06-04,943,1172
2020-06-05,950,1172
2020-06-06,992,1172
2020-06-07,969,1172
2020-06-08,941,1172
2020-06-09,1067,1172
2020-06-10,832,1172
2020-06-11,980,1172
2020-06-12,920,1172
2020-06-13,1062,1172
2020-06-14,938,1172
2020-06-15,919,1172
2020-06-16,1151,1172
2020-06-17,826,1172
2020-06-18,878,1172
2020-06-19,907,1172
2020-06-20,974,1172
2020-06-21,914,1172
2020-06-22,937,1172
2020-06-23,1038,1172
2020-06-24,864,1172
2020-06-25,565,1172
2020-06-26,1258,1172
2020-06-27,1053,1172
2020-06-28,932,1172
2020-06-29,920,1172
2020-06-30,1136,1172
2020-07-01,1103,1172
2020-07-02,1188,1172
2020-07-03,1087,1172
2020-07-04,1142,1172
2020-07-05,927,1172
2020-07-06,926,1172
2020-07-07,1264,1172
2020-07-08,935,1172
2020-07-09,965,1172
2020-07-10,1034,1172
2020-07-11,1095,1172
2020-07-12,908,1172
2020-07-13,928,1172
2020-07-14,1391,1172
2020-07-15,930,1172
2020-07-16,1036,1172
2020-07-17,956,1172
2020-07-18,1063,1172
2020-07-19,945,1172
2020-07-20,929,1172
2020-07-21,1207,1172
2020-07-22,992,1172
2020-07-23,1042,1172
2020-07-24,1026,1172
2020-07-25,1067,1172
2020-07-26,913,1172
2020-07-27,916,1172
2020-07-28,1230,1172
2020-07-29,1005,1172
2020-07-30,1140,1172
2020-07-31,1163,1172
2020-08-01,1082,1172
2020-08-02,944,1172
2020-08-03,929,1172
2020-08-04,1533,1172
2020-08-05,1158,1172
2020-08-06,1004,1172
2020-08-07,1190,1172
2020-08-08,1239,1172
2020-08-09,923,1172
2020-08-10,928,1172
2020-08-11,1386,1172
2020-08-12,1019,1172
2020-08-13,1188,1172
2020-08-14,1107,1172
2020-08-15,1146,1172
2020-08-16,909,1172
2020-08-17,907,1172
2020-08-18,1118,1172
2020-08-19,1083,1172
2020-08-20,991,1172
2020-08-21,1073,1172
2020-08-22,1210,1172
2020-08-23,949,1172
2020-08-24,917,1172
2020-08-25,1277,1172
2020-08-26,1118,1172
2020-08-27,1115,1172
2020-08-28,1111,1172
2020-08-29,1054,1172
2020-08-30,904,1172
2020-08-31,911,1172
2020-09-01,1406,1172
2020-09-02,1027,1172
2020-09-03,1004,1172
2020-09-04,1059,1172
2020-09-05,1091,1172
2020-09-06,901,1172
2020-09-07,895,1172
2020-09-08,1076,1172
2020-09-09,844,1172
2020-09-10,1231,1172
2020-09-11,1167,1172
2020-09-12,988,1172
2020-09-13,879,1172
2020-09-14,903,1172
2020-09-15,1489,1172
2020-09-16,1316,1172
2020-09-17,1223,1172
2020-09-18,1252,1172
2020-09-19,1214,1172
2020-09-20,884,1172
2020-09-21,855,1172
2020-09-22,1419,1172
2020-09-23,1191,1172
2020-09-24,1066,1172
2020-09-25,1097,1172
2020-09-26,1043,1172
2020-09-27,881,1172
2020-09-28,881,1172
2020-09-29,1593,1172
2020-09-30,1127,1172
2020-10-01,1130,1172
2020-10-02,1202,1172
2020-10-03,1226,1172
2020-10-04,873,1172
2020-10-05,879,1172
2020-10-06,1575,1172
2020-10-07,1158,1172
2020-10-08,1172,1172
2020-10-09,1197,1172
2020-10-10,1067,1172
2020-10-11,915,1172
2020-10-12,917,1172
2020-10-13,-855,1172
2020-10-14,2987,1172
2020-10-15,-137,1172
2020-10-16,-105,1172
2020-10-17,4507,1172
2020-10-18,924,1172
2020-10-19,908,1172
2020-10-20,1783,1172
2020-10-21,1236,1172
2020-10-22,1368,1172
2020-10-23,1367,1172
2020-10-24,1391,1172
2020-10-25,958,1172
2020-10-26,947,1172
2020-10-27,1778,1172
2020-10-28,1371,1172
2020-10-29,1400,1172
2020-10-30,1274,1172
2020-10-31,1317,1172
2020-11-01,977,1172
