Mes;MoMoOld;MoMoNew;INE
Gener 2018;;;47911
Febrer 2018;;;39756
Març 2018;;;39772
Abril 2018;12670;12670;34956
Maig 2018;31547;31547;33421
Juny 2018;30142;30142;31970
Juliol 2018;30254;30254;32215
Agost 2018;30953;30953;33177
Setembre 2018;28465;28465;30293
Octubre 2018;31055;31055;32879
Novembre 2018;32473;32473;34338
Desembre 2018;34208;34208;37033
Gener 2019;42033;42033;44241
Febrer 2019;35570;35570;36826
Març 2019;35049;35049;35154
Abril 2019;32268;32268;34070
Maig 2019;32080;32080;33734
Juny 2019;29907;29907;31764
Juliol 2019;31444;31444;33383
Agost 2019;29712;29712;31453
Setembre 2019;28220;28220;29665
Octubre 2019;30974;30974;31885
Novembre 2019;32848;32848;33523
Desembre 2019;34145;34145;34582
Gener 2020;40683;40683;
Febrer 2020;34565;34565;
Març 2020;48753;54417;
Abril 2020;50070;56261;
Maig 2020;28513;28513;
Juny 2020;;;
Juliol 2020;;;
Agost 2020;;;
Setembre 2020;;;
Octubre 2020;;;
Novembre 2020;;;
Desembre 2020;;;
