Mes;MoMoOld;MoMoNew;INE
January 2018;;;47911
February 2018;;;39756
March 2018;;;39772
April 2018;12670;12670;34956
May 2018;31547;31748;33421
June 2018;30142;30389;31970
July 2018;30254;30595;32215
August 2018;30953;31457;33177
September 2018;28465;28824;30293
October 2018;31055;31278;32879
November 2018;32473;32750;34338
December 2018;34208;35339;37033
January 2019;42033;42034;44241
February 2019;35570;35571;36826
March 2019;35049;35052;35154
April 2019;32268;32273;34070
May 2019;32080;32084;33734
June 2019;29907;29915;31764
July 2019;31444;31454;33383
August 2019;29712;29718;31453
September 2019;28220;28229;29665
October 2019;30974;30989;31885
November 2019;32848;32865;33523
December 2019;34145;34155;34582
January 2020;40683;40697;
February 2020;34543;34584;
March 2020;48753;54498;
April 2020;50070;56416;
May 2020;23843;33155;
June 2020;;29408;
July 2020;;10771;
August 2020;;;
September 2020;;;
October 2020;;;
November 2020;;;
December 2020;;;
