Fecha;MoMo;Fake;Renave;MoMo-Renave;Fake-Renave;2018
2020-01-01;1159;1159;;;;1172
2020-01-02;1224;1224;;;;1172
2020-01-03;1226;1226;;;;1172
2020-01-04;1240;1240;;;;1172
2020-01-05;1196;1196;;;;1172
2020-01-06;1166;1166;;;;1172
2020-01-07;1180;1180;;;;1172
2020-01-08;1332;1332;;;;1172
2020-01-09;1271;1271;;;;1172
2020-01-10;1375;1375;;;;1172
2020-01-11;1348;1348;;;;1172
2020-01-12;1256;1256;;;;1172
2020-01-13;1260;1260;;;;1172
2020-01-14;1337;1337;;;;1172
2020-01-15;1352;1352;;;;1172
2020-01-16;1332;1332;;;;1172
2020-01-17;1478;1478;;;;1172
2020-01-18;1376;1376;;;;1172
2020-01-19;1291;1291;;;;1172
2020-01-20;1231;1231;;;;1172
2020-01-21;1388;1388;;;;1172
2020-01-22;1388;1388;;;;1172
2020-01-23;1360;1360;;;;1172
2020-01-24;1402;1402;;;;1172
2020-01-25;1334;1334;;;;1172
2020-01-26;1295;1295;;;;1172
2020-01-27;1334;1334;;;;1172
2020-01-28;1354;1354;;;;1172
2020-01-29;1398;1398;;;;1172
2020-01-30;1394;1394;;;;1172
2020-01-31;1406;1406;;;;1172
2020-02-01;1312;1312;;;;1172
2020-02-02;1272;1272;;;;1172
2020-02-03;1284;1284;;;;1172
2020-02-04;1304;1304;;;;1172
2020-02-05;1302;1302;;;;1172
2020-02-06;1264;1264;;;;1172
2020-02-07;1270;1270;;;;1172
2020-02-08;1191;1191;;;;1172
2020-02-09;1150;1150;;;;1172
2020-02-10;1152;1152;;;;1172
2020-02-11;1235;1235;;;;1172
2020-02-12;1232;1232;;;;1172
2020-02-13;1284;1284;;;;1172
2020-02-14;1192;1192;;;;1172
2020-02-15;1208;1208;;;;1172
2020-02-16;1074;1074;;;;1172
2020-02-17;1121;1121;;;;1172
2020-02-18;1129;1129;;;;1172
2020-02-19;1089;1089;;;;1172
2020-02-20;1184;1184;0;1184;1184;1172
2020-02-21;1157;1157;0;1157;1157;1172
2020-02-22;1173;1173;0;1173;1173;1172
2020-02-23;1088;1088;0;1088;1088;1172
2020-02-24;1141;1141;0;1141;1141;1172
2020-02-25;1124;1124;0;1124;1124;1172
2020-02-26;1126;1126;0;1126;1126;1172
2020-02-27;1225;1225;0;1225;1225;1172
2020-02-28;1129;1129;0;1129;1129;1172
2020-02-29;1153;1153;0;1153;1153;1172
2020-03-01;1060;1054;0;1060;1054;1172
2020-03-02;1123;1111;0;1123;1111;1172
2020-03-03;1156;1147;0;1156;1147;1172
2020-03-04;1149;1137;0;1149;1137;1172
2020-03-05;1184;1172;0;1184;1172;1172
2020-03-06;1184;1172;0;1184;1172;1172
2020-03-07;1157;1147;0;1157;1147;1172
2020-03-08;1129;1119;28;1101;1091;1172
2020-03-09;1108;1097;7;1101;1090;1172
2020-03-10;1212;1200;13;1199;1187;1172
2020-03-11;1278;1237;37;1241;1200;1172
2020-03-12;1278;1209;39;1239;1170;1172
2020-03-13;1380;1283;20;1360;1263;1172
2020-03-14;1368;1250;152;1216;1098;1172
2020-03-15;1373;1269;22;1351;1247;1172
2020-03-16;1402;1273;179;1223;1094;1172
2020-03-17;1494;1348;94;1400;1254;1172
2020-03-18;1579;1416;175;1404;1241;1172
2020-03-19;1686;1560;229;1457;1331;1172
2020-03-20;1902;1722;354;1548;1368;1172
2020-03-21;2005;1811;366;1639;1445;1172
2020-03-22;2034;1711;431;1603;1280;1172
2020-03-23;2309;1905;565;1744;1340;1172
2020-03-24;2544;2145;596;1948;1549;1172
2020-03-25;2657;2233;613;2044;1620;1172
2020-03-26;2613;2256;753;1860;1503;1172
2020-03-27;2840;2383;840;2000;1543;1172
2020-03-28;2802;2398;710;2092;1688;1172
2020-03-29;2657;2205;700;1957;1505;1172
2020-03-30;2792;2317;821;1971;1496;1172
2020-03-31;2962;2466;930;2032;1536;1172
2020-04-01;2888;2429;872;2016;1557;1172
2020-04-02;2751;2361;848;1903;1513;1172
2020-04-03;2741;2378;777;1964;1601;1172
2020-04-04;2472;2121;670;1802;1451;1172
2020-04-05;2523;2145;628;1895;1517;1172
2020-04-06;2450;2092;755;1695;1337;1172
2020-04-07;2532;2211;757;1775;1454;1172
2020-04-08;2416;2162;779;1637;1383;1172
2020-04-09;2231;1998;647;1584;1351;1172
2020-04-10;2183;1963;498;1685;1465;1172
2020-04-11;2058;1833;610;1448;1223;1172
2020-04-12;1970;1726;549;1421;1177;1172
2020-04-13;1932;1748;536;1396;1212;1172
2020-04-14;1900;1690;682;1218;1008;1172
2020-04-15;1828;1651;619;1209;1032;1172
2020-04-16;1706;1557;589;1117;968;1172
2020-04-17;1754;1576;556;1198;1020;1172
2020-04-18;1655;1515;408;1247;1107;1172
2020-04-19;1519;1377;397;1122;980;1172
2020-04-20;1475;1329;432;1043;897;1172
2020-04-21;1590;1448;434;1156;1014;1172
2020-04-22;1393;1282;439;954;843;1172
2020-04-23;1327;1228;365;962;863;1172
2020-04-24;1429;1301;377;1052;924;1172
2020-04-25;1331;1226;286;1045;940;1172
2020-04-26;1226;1131;332;894;799;1172
2020-04-27;1262;1180;297;965;883;1172
2020-04-28;1287;1170;459;828;711;1172
2020-04-29;1215;1117;265;950;852;1172
2020-04-30;1217;1125;281;936;844;1172
2020-05-01;1194;1194;279;915;915;1172
2020-05-02;1213;1213;163;1050;1050;1172
2020-05-03;1169;1169;164;1005;1005;1172
2020-05-04;1142;1142;186;956;956;1172
2020-05-05;1287;1287;244;1043;1043;1172
2020-05-06;1183;1183;208;975;975;1172
2020-05-07;1170;1170;229;941;941;1172
2020-05-08;1195;1195;178;1017;1017;1172
2020-05-09;1113;1113;144;969;969;1172
2020-05-10;953;953;124;829;829;1172
2020-05-11;1013;1013;172;841;841;1172
2020-05-12;1046;1046;182;864;864;1172
2020-05-13;1078;1078;217;861;861;1172
2020-05-14;1026;1026;141;885;885;1172
2020-05-15;1059;1059;100;959;959;1172
2020-05-16;966;966;85;881;881;1172
2020-05-17;990;990;59;931;931;1172
2020-05-18;962;962;100;862;862;1172
2020-05-19;1030;1030;99;931;931;1172
2020-05-20;1103;1103;48;1055;1055;1172
2020-05-21;1105;1105;;;;1172
2020-05-22;1194;1194;;;;1172
2020-05-23;1101;1101;;;;1172
2020-05-24;1078;1078;;;;1172
2020-05-25;1120;1120;;;;1172
2020-05-26;1023;1023;;;;1172
2020-05-27;;;;;;1172
2020-05-28;;;;;;1172
2020-05-29;;;;;;1172
2020-05-30;;;;;;1172
2020-05-31;;;;;;1172
2020-06-01;;;;;;1172
2020-06-02;;;;;;1172
2020-06-03;;;;;;1172
2020-06-04;;;;;;1172
2020-06-05;;;;;;1172
2020-06-06;;;;;;1172
2020-06-07;;;;;;1172
2020-06-08;;;;;;1172
2020-06-09;;;;;;1172
2020-06-10;;;;;;1172
2020-06-11;;;;;;1172
2020-06-12;;;;;;1172
2020-06-13;;;;;;1172
2020-06-14;;;;;;1172
2020-06-15;;;;;;1172
2020-06-16;;;;;;1172
2020-06-17;;;;;;1172
2020-06-18;;;;;;1172
2020-06-19;;;;;;1172
2020-06-20;;;;;;1172
2020-06-21;;;;;;1172
2020-06-22;;;;;;1172
2020-06-23;;;;;;1172
2020-06-24;;;;;;1172
2020-06-25;;;;;;1172
2020-06-26;;;;;;1172
2020-06-27;;;;;;1172
2020-06-28;;;;;;1172
2020-06-29;;;;;;1172
2020-06-30;;;;;;1172
