Pais;% camas de hostital por cada 1000 habitantes;% enfermeras por cada 1000 habitantes
AUS;3.84;11.57
AUT;7.42;6.77
BEL;5.76;10.96
CAN;2.58;9.91
CZE;6.66;8.07
DNK;2.6;9.95
FIN;3.97;0
FRA;6.06;10.21
DEU;8.06;12.84
GRC;4.2;3.25
HUN;7;6.44
ISL;3.13;14.22
IRL;2.97;11.56
ITA;3.17;6.54
JPN;13.11;11.34
KOR;11.98;6.8
LUX;4.81;11.72
MEX;1.39;2.9
NLD;3.44;0
NZL;2.73;10.28
NOR;3.68;17.49
POL;6.64;5.16
PRT;3.39;6.47
SVK;5.78;5.74
ESP;2.97;5.51
SWE;2.34;10.9
CHE;4.55;17.02
TUR;2.75;1.93
GBR;2.57;7.88
USA;2.77;11.61
BRA;0;0
CHL;2.12;0
CHN;4.05;2.5
EST;4.76;6.1
IND;0.48;1.5
IDN;0.99;0
ISR;2.99;4.99
RUS;8.16;8.46
SVN;4.49;9.65
ZAF;0;1.32
COL;1.68;1.21
LVA;5.72;4.64
LTU;6.69;7.7
CRI;1.16;0
