Mes;2020-05-07;2020-05-23;2020-05-27;2020-05-30;2020-07-13;2020-05-07 - 2020-05-23;2020-05-23 - 2020-05-27;2020-05-27 - 2020-05-30;2020-05-30 - 2020-07-13
Abril 2018;12670;;;;;;;;
Maig 2018;31547;27559;23357;20431;;-3988;-4202;-2926;
Juny 2018;30142;30142;30142;30389;6382;0;0;247;-24007
Juliol 2018;30254;30254;30254;30595;30595;0;0;341;0
Agost 2018;30953;30953;30953;31457;31457;0;0;504;0
Setembre 2018;28465;28465;28465;28824;28824;0;0;359;0
Octubre 2018;31055;31055;31055;31278;31278;0;0;223;0
Novembre 2018;32473;32473;32473;32750;32750;0;0;277;0
Desembre 2018;34208;34208;34208;35339;35339;0;0;1131;0
Gener 2019;42033;42033;42033;42034;42034;0;0;1;0
Febrer 2019;35570;35570;35570;35571;35571;0;0;1;0
Març 2019;35049;35049;35049;35052;35052;0;0;3;0
Abril 2019;32268;32268;32268;32273;32273;0;0;5;0
Maig 2019;32080;32080;32080;32084;32084;0;0;4;0
Juny 2019;29907;29907;29907;29915;29915;0;0;8;0
Juliol 2019;31444;31444;31444;31454;31454;0;0;10;0
Agost 2019;29712;29712;29712;29718;29718;0;0;6;0
Setembre 2019;28220;28220;28220;28229;28229;0;0;9;0
Octubre 2019;30974;30974;30974;30989;30989;0;0;15;0
Novembre 2019;32848;32848;32848;32865;32865;0;0;17;0
Desembre 2019;34145;34145;34145;34155;34155;0;0;10;0
Gener 2020;40683;40683;40683;40697;40697;0;0;14;0
Febrer 2020;34543;34543;34565;34584;34584;0;22;19;0
Març 2020;48753;48753;54417;54451;54498;0;5664;34;47
Abril 2020;50223;50070;56261;56291;56416;-153;6191;30;125
Maig 2020;6756;23843;28513;31878;33155;17087;4670;3365;1277
Juny 2020;;;;;29350;;;;
Juliol 2020;;;;;12665;;;;
