Mes;2020-05-07;2020-05-23;2020-05-27;2020-05-30
April 2018;12670;;;
May 2018;31547;27559;23357;20431
June 2018;30142;30142;30142;30389
July 2018;30254;30254;30254;30595
August 2018;30953;30953;30953;31457
September 2018;28465;28465;28465;28824
October 2018;31055;31055;31055;31278
November 2018;32473;32473;32473;32750
December 2018;34208;34208;34208;35339
January 2019;42033;42033;42033;42034
February 2019;35570;35570;35570;35571
March 2019;35049;35049;35049;35052
April 2019;32268;32268;32268;32273
May 2019;32080;32080;32080;32084
June 2019;29907;29907;29907;29915
July 2019;31444;31444;31444;31454
August 2019;29712;29712;29712;29718
September 2019;28220;28220;28220;28229
October 2019;30974;30974;30974;30989
November 2019;32848;32848;32848;32865
December 2019;34145;34145;34145;34155
January 2020;40683;40683;40683;40697
February 2020;34543;34543;34565;34584
March 2020;48753;48753;54417;54451
April 2020;50223;50070;56261;56291
May 2020;6756;23843;28513;31878
