Mes;2020-05-07;2020-05-23;2020-05-27;2020-05-30
Abril 2018;12670;;;
Mayo 2018;31547;27559;23357;20431
Junio 2018;30142;30142;30142;30389
Julio 2018;30254;30254;30254;30595
Agosto 2018;30953;30953;30953;31457
Septiembre 2018;28465;28465;28465;28824
Octubre 2018;31055;31055;31055;31278
Noviembre 2018;32473;32473;32473;32750
Diciembre 2018;34208;34208;34208;35339
Enero 2019;42033;42033;42033;42034
Febrero 2019;35570;35570;35570;35571
Marzo 2019;35049;35049;35049;35052
Abril 2019;32268;32268;32268;32273
Mayo 2019;32080;32080;32080;32084
Junio 2019;29907;29907;29907;29915
Julio 2019;31444;31444;31444;31454
Agosto 2019;29712;29712;29712;29718
Septiembre 2019;28220;28220;28220;28229
Octubre 2019;30974;30974;30974;30989
Noviembre 2019;32848;32848;32848;32865
Diciembre 2019;34145;34145;34145;34155
Enero 2020;40683;40683;40683;40697
Febrero 2020;34543;34543;34565;34584
Marzo 2020;48753;48753;54417;54451
Abril 2020;50223;50070;56261;56291
Mayo 2020;6756;23843;28513;31878
