Fecha;Austria;Belgium;Denmark;Estonia;Finland;France;Germany (Berlin);Germany (Hesse);Greece;Hungary;Ireland;Italy;Luxembourg;Malta;Netherlands;Norway;Portugal;Spain;Sweden;Switzerland;UK (England);UK (Northern Ireland);UK (Scotland);UK (Wales)
2014-12-29;2.02;2.47;3.01;;0.01;4.36;;1.39;2.85;0.81;0.6;3.54;-0.41;2.53;3.03;;7.97;7.06;;2.69;;;;
2015-01-05;3.07;3.02;2.65;;0.79;5.67;;3.26;4.88;1.39;2.62;5.65;-0.34;3.29;4.62;;10.11;9.92;;4.03;;;;
2015-01-12;4;2.84;1.98;;0.52;4.5;;2.9;5.02;1.09;2.2;4.48;-0.42;3.23;4;;11.13;10.76;;4.59;;;;
2015-01-19;3.3;2.57;0.94;;-1.73;3.64;;1.91;5.02;1.37;1.23;3.39;-0.2;1.01;3.7;;10.18;10.23;;3.75;;;;
2015-01-26;3.96;4.08;1.16;;-1.28;5.77;;4.34;3.31;1.67;2.62;3.68;-0.05;2.25;3.4;;8.45;11.66;;5.91;;;;
2015-02-02;5.17;4.85;2.53;;-1.21;8.43;;3.71;2.61;2.48;2;5.14;-0.11;1.6;2.9;;8.17;10.27;;7.23;;;;
2015-02-09;6.13;6.67;2.28;;-0.48;10.64;;7.23;1.88;2.33;2.17;5.13;-0.14;3.14;3.36;;9.18;10.78;;10.12;;;;
2015-02-16;6.67;5.62;3.16;;-0.79;10.14;;8.01;2.69;2.59;2.95;4.99;0.22;3.84;4.23;;6.34;10.05;;9.69;;;;
2015-02-23;5.1;4.36;4.01;;0.28;7.83;;8.29;3.36;2.04;2.89;3.2;-0.2;3.36;2.62;;6.7;8.23;;9.09;;;;
2015-03-02;4.66;2.54;4.85;;0.69;5.37;;6.74;2.39;1.57;3.01;2.75;0.27;1.29;2.94;;4.13;5.71;;5.85;;;;
2015-03-09;3.48;1.74;4.28;;-0.89;3.7;;4.21;1.91;1.12;1.89;1.75;-0.21;3.44;1.76;;2.87;3.51;;5.92;;;;
2015-03-16;2.73;1.87;1.6;;-1.66;2.59;;3.93;1.39;1.1;1.8;1.75;-0.39;2.01;1.59;;2.73;1.78;;4.02;;;;
2015-03-23;3.22;1;2.28;;-1.53;2.25;;2.87;0.92;0.93;2.06;0.69;-0.05;1.5;2.22;;0.69;2.09;;1.25;;;;
2015-03-30;1.59;-0.12;0.78;;0.55;0.55;;2.12;1.05;0.82;1.29;0.82;0.05;0.74;-0.21;;1.97;1.87;;1.67;;;;
2015-04-06;1.26;1.22;1.9;;0.76;1.44;;1.48;1.26;0.8;1.21;1.35;-0.3;1.37;0.59;;-0.67;0.43;;0.29;;;;
2015-04-13;2.33;0.69;1.38;;0.23;0.68;;1.4;1.45;0.82;0.28;1.64;-0.19;0.36;0.99;;-0.48;0.66;;1.75;;;;
2015-04-20;1.32;-0.11;-1.57;;1.41;0.59;;2.1;0.28;0.87;0.41;-0.06;-0.37;-0.72;0.59;;-1.81;0.68;;0.42;;;;
2015-04-27;-0.01;-0.89;0.4;;0.4;0.08;;1.62;0.7;0.52;0.66;0.71;-0.57;0.22;-0.98;;-1.41;-1.07;;2.01;;;;
2015-05-04;0.29;0.04;-0.22;;0.61;0.13;;1.7;1.07;0.43;0.33;0.53;-0.4;-0.88;0.11;;0.33;-0.19;;-0.4;;;;
2015-05-11;0.59;-0.62;-1.63;;-1.19;-0.88;;-0.18;-1.03;-0.03;2.04;-0.42;-0.65;-1.5;0.15;;0.13;0.53;;-0.42;;;;
2015-05-18;-0.25;-0.7;0.13;;-0.78;-0.81;;0.36;-0.56;-0.05;0.74;-0.67;-0.5;1.13;-1.44;;-1.1;-0.62;;-0.78;;;;
2015-05-25;-1.97;-0.91;0.4;;-0.23;-0.21;;-0.47;-1.46;-0.37;0.76;-0.9;-0.16;-0.71;0;;1.02;-0.99;;-1.33;;;;
2015-06-01;0.55;-0.14;0.02;;-0.95;1.58;;0.73;-0.23;0.54;-0.73;2.36;-0.21;0.25;-0.53;;0;0.61;;0.53;;;;
2015-06-08;1.73;0.75;2.04;;-0.31;0.58;;0.67;-0.05;0.08;0.54;1.09;-0.28;0.93;0.74;1.21;-0.53;0.13;1.14;0.6;0.92;-0.31;0.34;-0.08
2015-06-15;-1.82;-0.4;-1.07;;1.04;-0.22;;-0.05;0.96;-0.77;0.11;-0.74;-0.14;-1.08;-0.54;0.25;0.42;-0.66;0.78;-0.92;-0.61;1.12;1.66;1.61
2015-06-22;-0.26;-0.41;-1.38;;-0.13;1.66;;1.94;-1.22;-0.44;-0.42;-0.77;-0.51;-1.03;-0.52;2.07;-0.93;0.2;-0.57;1.43;0.04;0.45;1.6;-0.06
2015-06-29;1.71;5.18;0.16;;2.36;5.73;;8.27;-1.14;0.36;-0.07;1.34;-0.01;-0.71;3.29;1;-1.28;4.95;0.12;3.72;0.92;-1.13;1.42;-0.54
2015-07-06;1.62;0.24;0.42;;-0.54;2.12;;4.09;1.48;0.72;0.13;4.51;0.24;0.12;0.23;0.16;0.15;6.2;1.07;5.14;-1.29;-3.66;-0.93;-0.52
2015-07-13;1.57;-1.02;-0.32;;-0.46;1.4;;2.59;1.07;0.25;-0.43;4.86;-0.23;-1.17;0.06;1.12;0.17;5.55;0.48;3.73;-1.45;-1.41;1.91;-0.14
2015-07-20;4.13;-1.7;0.79;;-0.57;0.47;;0.98;3.34;1.09;-1.9;6.21;-0.41;1.31;-0.11;-0.55;-0.34;4.09;0.89;0.95;-1.36;-1.1;-1.2;-1.34
2015-07-27;1.16;-1.32;0.41;;-1.04;-0.61;;1.26;3.06;-1.06;-1.36;1.07;0.01;1.09;-0.82;-0.85;0.17;2.32;1.65;0.11;0.02;0.59;1.41;1.24
2015-08-03;2.09;1.54;-0.08;;-1.23;2.41;;1.91;2.32;0.18;0.44;2.2;-0.29;0.23;-0.19;0.44;0.47;1.48;0.54;1.76;1.05;-1.73;0.74;0.28
2015-08-10;5;-0.37;0.63;;0.89;0.48;;2.86;1.46;1.45;1.34;1.22;0.01;-0.28;-0.45;0.15;-0.39;1.12;0.55;1.21;0.25;-1.42;-0.04;-1.16
2015-08-17;-0.47;-1.62;-0.43;-0.55;0.56;-0.44;;-1.68;0.38;-1.23;1.13;-0.79;0.07;-1.22;-0.64;1.04;0.08;-0.4;1;0.09;-0.14;-1.19;-0.15;0.15
2015-08-24;1.22;0.26;-0.87;-0.82;0.5;0.04;;0.69;0.21;-0.31;-1.52;-1.02;-0.08;0.88;-0.7;0.67;-0.8;0.37;-1.21;0.41;-1.31;-0.5;0.01;0.63
2015-08-31;-0.43;-1.55;-1.6;-1.36;-0.52;-1.07;;0.12;1.82;-0.55;1.2;1.11;-0.13;0.49;-1.08;1.6;0.27;-1.32;1.97;-0.25;-2.1;-0.01;-0.75;-1.58
2015-09-07;0.61;0.1;-0.66;1.35;0.3;-0.19;;-0.06;0.26;-0.57;1.51;0.15;0.2;0.6;-0.18;0.38;0.33;-1.09;0.04;0.43;-0.7;0.98;-0.97;-0.54
2015-09-14;0.52;-1.21;-0.12;0.57;0.46;-0.44;;-0.71;-0.42;-0.09;-1.3;-0.05;-0.14;-0.46;-0.05;1.4;-1.39;-1.53;-0.11;-1.13;0.26;0.57;0.21;1.39
2015-09-21;-0.46;-0.24;0.77;0.79;-1.1;0.45;;0.1;-0.94;-0.99;1.73;-0.55;-0.13;-0.36;0.39;0;0.43;-0.47;0.73;0.01;0.01;-1.27;0.73;-1.25
2015-09-28;0.61;0.01;0.39;0.83;-0.92;0.9;;0.46;-1.47;-0.89;-0.41;-0.05;-0.39;-1.35;0.81;1.28;0.98;-1.03;0.72;0.87;0.79;0.28;-0.41;1.13
2015-10-05;-0.97;0.51;-1.27;1.68;-0.1;2.17;;2.12;0.28;-0.4;1.74;0.9;-0.17;-0.57;-0.05;0.09;-0.73;0.01;-1.76;-0.9;-0.24;0.13;0;1.34
2015-10-12;0.18;0.74;-0.09;0.35;0.19;0.78;;1.37;0.04;0.05;1.01;1.05;-0.07;1.06;-0.18;0.21;-0.78;-0.18;-1.51;0.06;-0.43;1.1;-1.52;0.52
2015-10-19;0.13;0.3;1.35;-1;0.76;1.22;;0.6;-0.03;-0.12;1.72;1.13;0.01;0.63;0.96;0.32;-0.15;0.29;0.12;-0.56;-0.47;0.54;0.81;-0.61
2015-10-26;-1.03;0.78;0.73;-1.67;-1.61;1.06;;-0.29;1.47;-0.23;0.05;-0.04;0.26;1.06;0.57;-0.19;-0.29;0.56;-0.89;1.08;-0.5;-1.73;-0.21;-0.65
