Fecha;Austria;Belgium;Denmark;Estonia;Finland;France;Germany (Berlin);Germany (Hesse);Greece;Hungary;Ireland;Italy;Luxembourg;Malta;Netherlands;Norway;Portugal;Spain;Sweden;Switzerland;UK (England);UK (Northern Ireland);UK (Scotland);UK (Wales)
2014-12-29;2.02;2.47;3.01;;0.01;4.36;;1.34;2.83;0.81;0.67;3.48;0.49;2.53;3.03;;7.97;7.13;;2.69;;;;
2015-01-05;3.07;3.01;2.65;;0.79;5.68;;3.17;4.86;1.39;2.69;5.68;0.75;3.29;4.62;;10.11;10.02;;4.03;;;;
2015-01-12;4;2.83;1.98;;0.52;4.5;;2.81;4.99;1.09;2.27;4.47;0.26;3.23;4;;11.13;10.87;;4.59;;;;
2015-01-19;3.3;2.57;0.94;;-1.73;3.64;;1.83;4.99;1.37;1.29;3.52;1.29;1.01;3.7;;10.18;10.33;;3.75;;;;
2015-01-26;3.97;4.08;1.16;;-1.28;5.77;;4.22;3.29;1.67;2.69;3.73;2.02;2.25;3.4;;8.45;11.78;;5.9;;;;
2015-02-02;5.17;4.85;2.54;;-1.21;8.44;;3.6;2.59;2.48;2.06;5.28;1.68;1.6;2.9;;8.17;10.36;;7.23;;;;
2015-02-09;6.13;6.67;2.28;;-0.48;10.64;;7.07;1.87;2.33;2.23;5.17;1.43;3.14;3.36;;9.18;10.9;;10.12;;;;
2015-02-16;6.67;5.62;3.16;;-0.79;10.14;;7.83;2.67;2.59;3.01;5.1;3.26;3.84;4.23;;6.34;10.15;;9.69;;;;
2015-02-23;5.1;4.36;4.02;;0.28;7.83;;8.12;3.34;2.04;2.95;3.27;1.03;3.36;2.62;;6.7;8.31;;9.09;;;;
2015-03-02;4.66;2.54;4.85;;0.69;5.37;;6.59;2.37;1.57;3.07;2.72;3.39;1.29;2.94;;4.13;5.77;;5.85;;;;
