DagMånad,2015,2016,2017,2018,2019,2020,2021,2022
1 januari,295,245,339,275,300,254,322,303
2 januari,272,272,317,312,276,302,356,271
3 januari,281,293,310,295,271,256,339,300
4 januari,256,260,305,285,282,273,308,289
5 januari,268,260,304,291,275,265,354,314
6 januari,256,246,304,268,281,285,337,301
7 januari,309,270,313,272,280,246,337,259
8 januari,294,292,296,260,274,291,340,301
9 januari,272,276,288,274,239,277,297,263
10 januari,285,256,304,287,254,253,333,228
11 januari,282,271,322,269,269,263,333,288
12 januari,287,300,298,283,250,276,326,296
13 januari,262,249,311,299,254,242,346,280
14 januari,272,260,290,269,262,267,337,305
15 januari,299,270,309,291,284,255,300,287
16 januari,287,274,306,295,260,254,328,308
17 januari,265,290,304,267,262,244,319,277
18 januari,263,275,296,268,261,304,318,283
19 januari,275,276,297,281,250,265,350,265
20 januari,265,308,295,273,260,231,344,287
21 januari,283,276,281,270,255,241,304,280
22 januari,308,255,281,279,266,265,331,297
23 januari,278,269,288,270,247,236,312,254
24 januari,259,299,253,280,274,251,284,267
25 januari,278,316,304,288,263,253,293,291
26 januari,261,277,257,258,290,253,293,294
27 januari,269,286,276,278,233,260,298,306
28 januari,276,275,263,275,234,276,298,306
29 januari,292,309,269,274,253,275,310,292
30 januari,300,267,256,243,270,269,284,261
31 januari,288,276,265,249,245,247,290,297
1 februari,289,250,293,270,276,276,281,300
2 februari,279,262,293,260,244,245,258,303
3 februari,264,300,281,270,290,241,259,327
4 februari,254,267,256,288,293,242,286,318
5 februari,255,261,239,291,285,242,244,279
6 februari,269,266,247,288,250,258,272,297
7 februari,284,303,258,297,239,242,251,287
8 februari,263,260,298,262,265,245,279,294
9 februari,281,281,278,260,268,258,259,257
10 februari,278,246,288,292,282,273,290,282
11 februari,288,296,225,293,258,255,249,299
12 februari,326,257,287,273,268,273,279,247
13 februari,267,258,278,310,272,246,244,278
14 februari,266,239,280,293,263,266,259,288
15 februari,295,257,270,295,222,258,259,297
16 februari,296,249,287,309,253,253,264,282
17 februari,296,279,305,279,228,269,253,295
18 februari,304,244,297,265,248,259,261,286
19 februari,290,268,293,301,293,264,243,292
20 februari,337,279,292,291,261,256,291,275
21 februari,288,262,310,331,265,227,263,290
22 februari,296,255,294,303,273,260,265,256
23 februari,293,272,317,319,242,242,253,264
24 februari,322,266,281,287,238,264,280,266
25 februari,323,272,284,284,278,262,282,294
26 februari,303,261,291,335,241,258,236,288
27 februari,296,263,254,301,241,255,240,254
28 februari,265,256,299,304,258,232,248,257
29 februari,0,243,0,0,0,244,,
1 mars,274,231,318,330,268,263,240,258
2 mars,295,249,274,303,262,238,240,285
3 mars,310,303,315,304,224,261,258,268
4 mars,298,305,277,310,253,289,220,273
5 mars,295,268,252,323,254,281,226,251
6 mars,313,262,293,329,250,251,230,253
7 mars,273,285,259,309,240,266,242,232
8 mars,257,256,264,334,215,240,258,253
9 mars,297,268,267,311,238,248,249,224
10 mars,295,253,261,305,240,257,257,256
11 mars,263,261,245,293,251,234,225,220
12 mars,283,232,241,318,266,258,283,226
13 mars,260,255,268,317,257,243,258,215
14 mars,274,222,283,285,260,246,273,226
15 mars,260,255,260,297,294,244,240,170
16 mars,274,253,285,289,240,293,257,183
17 mars,272,273,252,306,261,266,241,143
18 mars,258,264,264,277,225,257,218,23
19 mars,273,253,237,280,255,235,226,
20 mars,283,280,260,284,226,279,255,
21 mars,250,265,242,309,228,264,244,
22 mars,264,251,257,288,237,271,259,
23 mars,262,274,231,289,226,298,237,
24 mars,257,252,229,298,235,281,237,
25 mars,220,230,256,249,237,294,264,
26 mars,317,264,217,262,265,304,267,
27 mars,291,259,279,276,213,294,230,
28 mars,292,234,260,300,211,268,220,
29 mars,291,240,244,265,251,301,248,
30 mars,288,258,253,278,252,338,234,
31 mars,280,254,233,292,236,309,248,
1 april,285,252,257,275,227,328,233,
2 april,263,277,256,297,238,369,245,
3 april,235,263,251,307,247,364,224,
4 april,247,255,277,281,253,314,236,
5 april,236,241,250,269,259,361,231,
6 april,260,245,260,279,220,369,223,
7 april,280,247,291,279,254,344,237,
8 april,278,210,234,276,235,393,253,
9 april,258,262,231,250,211,364,284,
10 april,266,245,224,275,227,376,237,
11 april,250,242,234,233,226,366,238,
12 april,257,259,264,251,235,357,223,
13 april,252,241,270,269,255,354,240,
14 april,272,251,246,272,223,353,242,
15 april,258,243,225,232,256,398,265,
16 april,273,273,256,227,240,398,227,
17 april,274,264,250,272,249,358,204,
18 april,255,248,219,261,231,338,256,
19 april,260,229,224,223,268,326,237,
20 april,265,246,264,239,246,310,247,
21 april,263,252,288,217,246,333,262,
22 april,253,258,264,248,232,332,226,
23 april,235,263,259,233,240,326,250,
24 april,242,275,257,226,255,312,245,
25 april,255,212,272,249,255,331,221,
26 april,251,244,247,245,241,325,216,
27 april,220,243,265,225,245,300,249,
28 april,256,228,232,235,230,336,239,
29 april,265,211,270,226,225,322,207,
30 april,230,227,229,244,217,319,237,
1 maj,235,239,235,249,244,360,244,
2 maj,218,233,233,252,249,296,224,
3 maj,232,239,254,254,206,306,239,
4 maj,244,260,273,224,241,331,223,
5 maj,237,235,227,222,231,309,243,
6 maj,238,226,228,216,239,325,227,
7 maj,235,215,246,234,232,328,246,
8 maj,247,211,228,231,229,294,254,
9 maj,222,217,261,220,249,284,243,
10 maj,238,247,235,230,235,311,250,
11 maj,220,215,279,225,233,319,207,
12 maj,248,241,235,213,226,290,256,
13 maj,252,228,257,219,215,284,240,
14 maj,217,217,229,238,217,275,249,
15 maj,246,221,224,223,225,276,212,
16 maj,253,251,220,233,220,266,243,
17 maj,232,221,225,225,208,279,215,
18 maj,253,222,243,204,224,302,207,
19 maj,222,217,231,185,248,259,215,
20 maj,244,222,254,178,204,278,201,
21 maj,239,224,187,210,208,249,235,
22 maj,240,208,220,201,219,292,246,
23 maj,217,227,232,219,190,270,227,
24 maj,255,230,251,223,230,268,228,
25 maj,220,192,226,207,233,242,238,
26 maj,233,201,245,213,202,225,228,
27 maj,219,225,224,187,224,245,198,
28 maj,234,272,248,215,218,216,228,
29 maj,240,203,218,212,239,230,184,
30 maj,246,218,235,214,223,242,206,
31 maj,235,214,229,202,211,256,207,
1 juni,240,220,220,213,237,264,183,
2 juni,224,215,230,205,189,269,239,
3 juni,240,243,260,220,246,255,229,
4 juni,229,219,228,217,221,227,208,
5 juni,233,212,237,214,244,269,213,
6 juni,236,187,207,194,201,233,230,
7 juni,215,196,219,228,200,234,200,
8 juni,228,236,215,229,214,231,224,
9 juni,216,201,244,230,218,258,233,
10 juni,214,206,224,201,203,278,193,
11 juni,219,207,203,190,202,243,244,
12 juni,256,229,233,208,187,244,215,
13 juni,258,223,239,214,198,255,199,
14 juni,218,211,212,202,229,212,208,
15 juni,239,219,220,208,218,247,188,
16 juni,206,227,217,213,207,238,210,
17 juni,217,223,240,206,228,261,192,
18 juni,226,229,229,226,207,255,254,
19 juni,222,209,212,212,233,222,227,
20 juni,245,224,189,215,225,234,188,
21 juni,237,215,209,227,202,213,230,
22 juni,236,213,204,214,229,229,212,
23 juni,206,209,227,186,202,221,184,
24 juni,222,251,227,220,192,226,238,
25 juni,216,244,223,223,227,256,230,
26 juni,219,217,224,246,226,222,209,
27 juni,202,211,203,265,213,250,187,
28 juni,224,222,201,222,220,270,235,
29 juni,219,197,221,235,208,198,204,
30 juni,205,227,238,216,226,228,205,
1 juli,221,235,239,226,226,240,199,
2 juli,243,228,261,216,204,238,194,
3 juli,268,221,215,213,212,220,223,
4 juli,249,214,235,236,211,230,225,
5 juli,269,210,219,226,218,211,205,
6 juli,244,211,226,244,221,228,250,
7 juli,213,224,225,234,245,213,227,
8 juli,225,230,220,219,205,218,221,
9 juli,210,220,209,199,197,260,233,
10 juli,207,240,223,207,200,235,182,
11 juli,242,247,202,223,241,211,215,
12 juli,219,236,204,257,247,206,214,
13 juli,247,219,235,247,237,217,204,
14 juli,215,231,224,231,231,193,214,
15 juli,219,210,229,221,221,225,233,
16 juli,196,233,208,258,210,201,252,
17 juli,226,229,217,237,218,220,216,
18 juli,227,235,224,254,207,246,224,
19 juli,199,226,225,238,216,211,204,
20 juli,216,241,199,250,217,226,258,
21 juli,232,201,239,262,193,211,206,
22 juli,212,226,209,225,199,197,207,
23 juli,213,251,199,232,180,240,211,
24 juli,206,236,191,242,225,244,209,
25 juli,237,264,214,211,204,218,219,
26 juli,222,236,210,215,229,204,230,
27 juli,232,233,250,275,261,231,263,
28 juli,241,232,197,239,216,212,197,
29 juli,221,230,211,228,189,213,237,
30 juli,224,210,211,238,218,214,216,
31 juli,241,225,208,256,225,219,227,
1 augusti,206,231,243,277,229,213,218,
2 augusti,223,228,246,239,213,245,237,
3 augusti,215,205,197,241,222,218,182,
4 augusti,224,245,205,252,195,210,196,
5 augusti,229,227,221,220,216,213,212,
6 augusti,215,214,216,200,231,211,213,
7 augusti,205,224,233,208,238,265,206,
8 augusti,201,208,235,223,214,237,231,
9 augusti,235,233,242,203,213,217,218,
10 augusti,228,213,194,220,233,204,235,
11 augusti,221,217,212,194,203,232,248,
12 augusti,205,227,217,202,237,216,239,
13 augusti,218,217,219,214,190,264,219,
14 augusti,223,259,195,220,204,200,209,
15 augusti,225,225,216,208,205,212,216,
16 augusti,215,246,216,243,227,189,213,
17 augusti,210,210,211,224,208,220,244,
18 augusti,210,228,235,192,215,246,220,
19 augusti,241,213,246,204,206,214,219,
20 augusti,218,231,226,192,230,206,214,
21 augusti,249,214,238,232,204,243,225,
22 augusti,239,222,214,191,219,246,205,
23 augusti,196,210,216,243,231,203,213,
24 augusti,213,227,226,213,227,202,248,
25 augusti,218,238,225,211,225,226,221,
26 augusti,217,234,203,213,223,224,260,
27 augusti,215,230,205,185,241,208,201,
28 augusti,179,206,215,251,226,212,195,
29 augusti,208,242,224,198,227,207,219,
30 augusti,208,242,220,238,235,207,234,
31 augusti,203,239,213,240,242,179,234,
1 september,247,235,238,245,248,217,218,
2 september,274,241,231,227,210,217,216,
3 september,217,252,227,245,204,239,247,
4 september,224,235,231,213,203,210,226,
5 september,230,219,224,228,222,227,193,
6 september,253,228,212,222,182,228,246,
7 september,221,237,240,249,208,220,232,
8 september,209,238,219,248,212,194,232,
9 september,209,241,233,212,233,237,218,
10 september,228,194,237,222,201,196,227,
11 september,228,199,242,228,220,225,203,
12 september,246,203,202,216,229,219,246,
13 september,211,207,223,214,199,236,230,
14 september,225,227,238,195,228,196,236,
15 september,218,236,226,231,249,224,229,
16 september,228,214,227,210,219,227,257,
17 september,225,233,232,241,230,238,235,
18 september,234,216,205,239,220,200,237,
19 september,234,196,214,222,211,229,226,
20 september,202,219,223,254,234,199,211,
21 september,223,222,235,261,219,225,228,
22 september,231,231,253,210,207,209,253,
23 september,228,240,248,218,237,225,266,
24 september,246,221,184,238,226,244,233,
25 september,240,202,215,217,238,213,224,
26 september,241,220,211,215,230,238,206,
27 september,224,256,225,239,246,209,239,
28 september,212,210,210,224,214,242,229,
29 september,247,245,236,223,257,187,262,
30 september,261,211,221,197,238,220,235,
1 oktober,232,243,214,230,247,260,231,
2 oktober,248,216,276,198,230,253,219,
3 oktober,237,219,232,242,238,183,249,
4 oktober,214,231,260,266,227,202,245,
5 oktober,205,233,223,227,224,229,205,
6 oktober,201,229,231,219,234,212,249,
7 oktober,235,247,244,224,212,227,217,
8 oktober,219,210,242,266,255,219,217,
9 oktober,219,229,238,253,229,235,237,
10 oktober,223,238,249,228,271,228,229,
11 oktober,226,233,247,259,233,193,246,
12 oktober,214,229,258,236,249,231,256,
13 oktober,231,220,243,225,205,223,231,
14 oktober,233,247,241,248,232,245,237,
15 oktober,222,266,219,199,218,257,206,
16 oktober,252,229,196,211,260,217,244,
17 oktober,218,268,245,244,239,217,218,
18 oktober,204,247,238,205,214,222,226,
19 oktober,232,253,263,222,233,222,232,
20 oktober,231,250,247,235,226,226,264,
21 oktober,261,230,233,226,217,229,255,
22 oktober,251,253,226,230,282,201,241,
23 oktober,243,249,223,240,249,211,232,
24 oktober,254,209,253,233,250,237,229,
25 oktober,226,225,228,262,240,244,257,
26 oktober,203,241,251,242,243,251,244,
27 oktober,246,242,220,225,243,226,243,
28 oktober,220,251,249,228,247,238,247,
29 oktober,255,212,220,265,224,259,244,
30 oktober,250,246,254,241,227,237,222,
31 oktober,242,262,252,247,240,226,217,
1 november,242,263,256,237,221,254,250,
2 november,212,227,233,220,236,241,277,
3 november,252,239,242,270,243,226,238,
4 november,233,232,266,226,235,249,232,
5 november,224,262,254,207,234,232,258,
6 november,231,233,209,264,234,247,259,
7 november,251,257,191,253,241,240,259,
8 november,249,241,227,223,273,238,235,
9 november,233,228,260,229,245,241,259,
10 november,266,245,251,234,236,236,256,
11 november,267,249,225,230,238,249,257,
12 november,209,247,245,220,247,284,236,
13 november,253,250,264,222,249,277,224,
14 november,245,265,249,207,248,288,249,
15 november,237,242,271,225,251,293,254,
16 november,222,255,237,209,214,290,248,
17 november,247,260,250,214,227,286,234,
18 november,251,260,242,244,246,271,254,
19 november,214,232,240,193,238,292,257,
20 november,255,257,247,221,263,267,257,
21 november,270,209,239,203,213,297,222,
22 november,219,264,249,241,264,286,241,
23 november,233,263,250,238,264,279,233,
24 november,251,254,238,212,224,290,236,
25 november,241,228,234,226,241,297,234,
26 november,254,239,243,261,250,288,265,
27 november,240,245,242,249,245,277,248,
